title_id,game_title,region,version,url,content_id,platform,distribution,content_type
D3PM0001,WANDABA STYLE - TOTSUGEKI! MIX NAMA JUICE [DX MIX PACK],JP,1.00,,D3PM-0001,PS2,DISC,GAME
DCP201201,DEATH CONNECTION [LIMITED EDITION],JP,1.00,,DCP2-01201,PS2,DISC,GAME
DKP200502,DESERT KINGDOM [LIMITED EDITION],JP,1.00,,DKP2-00502,PS2,DISC,GAME
DMPP201,AYAKA SHIBITO - GENYOU IBUNROKU [LIMITED EDITION],JP,1.00,,DMP-P201,PS2,DISC,GAME
DMPP202,MAHOROBA STORIES - LIBRARY OF FORTUNE [LIMITED EDITION],JP,1.00,,DMP-P202,PS2,DISC,GAME
DMPP203,HOUKAGO WA GIN NO SHIRABE [FIRST PRINT LIMITED EDITION],JP,1.00,,DMP-P203,PS2,DISC,GAME
DMPP204,LOVE ROOT ZERO - KISS KISS LABYRINTH [LIMITED EDITION],JP,1.00,,DMP-P204,PS2,DISC,GAME
DMPP205,UNDER THE MOON - CRESCENT [FIRST PRINT LIMITED EDITION],JP,1.00,,DMP-P205,PS2,DISC,GAME
FCKA30006,God of War II,KO,1.00,,FCKA-30006,PS2,DISC,GAME
FVGK0001,UMISHO [LIMITED EDITION],JP,1.00,,FVGK-0001,PS2,DISC,GAME
FVGK0002,PRISM ARK - AWAKE [LIMITED EDITION],JP,1.00,,FVGK-0002,PS2,DISC,GAME
FVGK0003,Your - Memories Off Girls Style,JP,1.00,,FVGK-0003,PS2,DISC,GAME
FVGK0004,NIGHT WIZARD THE VIDEO GAME - DENIAL OF THE WORLD [LIMITED EDITION],JP,1.00,,FVGK-0004,PS2,DISC,GAME
FVGK0007,L NO KISETSU 2 - INVISIBLE MEMORIES [LIMITED EDITION],JP,1.00,,FVGK-0007,PS2,DISC,GAME
FVGK0008,KANOKON - ESUII [LIMITED EDITION],JP,1.00,,FVGK-0008,PS2,DISC,GAME
FVGK0011,MEMORIES OFF #6 - T-WAVE [LIMITED EDITION],JP,1.00,,FVGK-0011,PS2,DISC,GAME
FVGK0012,MONOCHROME FACTOR - CROSS ROAD [Limited Edition],JP,1.00,,FVGK-0012,PS2,DISC,GAME
FVGK0015,HAKUSHAKU TO YOUSEI - YUME TO KIZUNA NI OMOI HASETE [LIMITED EDITION],JP,1.00,,FVGK-0015,PS2,DISC,GAME
FVGK0018,HYAKKO - YOROZUYA JIKENBO! [LIMITED EDITION],JP,1.00,,FVGK-0018,PS2,DISC,GAME
