titleId,final_gameTitle,final_url,final_contentId,final_has_content_id,col_gameTitle,dump_gameTitle,col_region_source,dump_region_source,col_platform,dump_platform,col_distribution,dump_distribution,distribution_same,col_content_type,dump_content_type,content_type_same,col_url,dump_url,dump_unlock_model,dump_unlock_group,dump_contentId
NPUB30696,Ion Assault HD,http://zeus.dl.playstation.net/cdn/UP4335/NPUB30696_00/fHvJHMuVjCmNTGjDOBTYQAMsDgBQcIWXLBvuAeMYrdreIGJEujZWByHTxwJYuTnK.pkg,UP4335-NPUB30696_00-IONASSAULT000001,YES,Ion Assault HD,Ion Assault HD,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,http://zeus.dl.playstation.net/cdn/UP4335/NPUB30696_00/fHvJHMuVjCmNTGjDOBTYQAMsDgBQcIWXLBvuAeMYrdreIGJEujZWByHTxwJYuTnK.pkg,http://zeus.dl.playstation.net/cdn/UP4335/NPUB30696_00/fHvJHMuVjCmNTGjDOBTYQAMsDgBQcIWXLBvuAeMYrdreIGJEujZWByHTxwJYuTnK.pkg,NONE,,UP4335-NPUB30696_00-IONASSAULT000001
NPUB30698,Catherine,http://zeus.dl.playstation.net/cdn/UP0005/NPUB30698_00/yYsMWOIWtFeDJPjCcvDwAiLJohcummTZpXvWXoezBnzCbyCpMPpuCsLAxrWpovrtwgyJyNMioFCsWKEWibmWlzFZrwGLHdOCTNmPk.pkg,UP0005-NPUB30698_00-CATHERINEGAMEUSA,YES,Catherine,Catherine,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,,http://zeus.dl.playstation.net/cdn/UP0005/NPUB30698_00/yYsMWOIWtFeDJPjCcvDwAiLJohcummTZpXvWXoezBnzCbyCpMPpuCsLAxrWpovrtwgyJyNMioFCsWKEWibmWlzFZrwGLHdOCTNmPk.pkg,NONE,,UP0005-NPUB30698_00-CATHERINEGAMEUSA
NPUB30699,Scarygirl,,,NO,Scarygirl,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,,,,,
NPUB30700,Saints Row: The Third,http://zeus.dl.playstation.net/cdn/UP1005/NPUB30700_00/jiLgEDDzTOZommbETLXcijlSuSvgBhJvquWvOxciXkicSSJPwsDFiSjmLTxGRUeraWFVkyokrKNXfbiIatWAdEEzEfKlMYTcpFWXj.pkg,UP1005-NPUB30700_00-SAINTSROWTHIRD01,YES,Saints Row: The Third,Saints Row - The Third,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,,http://zeus.dl.playstation.net/cdn/UP1005/NPUB30700_00/jiLgEDDzTOZommbETLXcijlSuSvgBhJvquWvOxciXkicSSJPwsDFiSjmLTxGRUeraWFVkyokrKNXfbiIatWAdEEzEfKlMYTcpFWXj.pkg,NONE,,UP1005-NPUB30700_00-SAINTSROWTHIRD01
NPUB30708,Warriors Orochi 3,http://zeus.dl.playstation.net/cdn/UP4108/NPUB30708_00/qAKUizFCrOXsAYbFNsqNRtEAhWHPWPaBCILLdYRWYBwmjCYcnpGYQFonRLVbhopGbUdOzviugyWIOpeKvBVxhisuprZtOdymiEKwp.pkg,UP4108-NPUB30708_00-WOROCHI3HDDBOOT0,YES,Warriors Orochi 3,Warriors Orochi 3,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,http://zeus.dl.playstation.net/cdn/UP4108/NPUB30708_00/qAKUizFCrOXsAYbFNsqNRtEAhWHPWPaBCILLdYRWYBwmjCYcnpGYQFonRLVbhopGbUdOzviugyWIOpeKvBVxhisuprZtOdymiEKwp.pkg,http://zeus.dl.playstation.net/cdn/UP4108/NPUB30708_00/qAKUizFCrOXsAYbFNsqNRtEAhWHPWPaBCILLdYRWYBwmjCYcnpGYQFonRLVbhopGbUdOzviugyWIOpeKvBVxhisuprZtOdymiEKwp.pkg,NONE,,UP4108-NPUB30708_00-WOROCHI3HDDBOOT0
NPUB30709,Rotastic,,,NO,Rotastic,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,,,,,
NPUB30712,Mad Riders,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30712_00/oMMLoHYPwrExARHXsAchRiWkRAzCOoXgTgbtXFsVbpBgLUpfqHPznHSflhPuOsQgrXBsrfVrfHsfXDZboLyGPwhdFgnkITmiijjqN.pkg,,NO,Mad Riders,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30712_00/oMMLoHYPwrExARHXsAchRiWkRAzCOoXgTgbtXFsVbpBgLUpfqHPznHSflhPuOsQgrXBsrfVrfHsfXDZboLyGPwhdFgnkITmiijjqN.pkg,,,,
NPUB30713,The Pinball Arcade,http://zeus.dl.playstation.net/cdn/UP2058/NPUB30713_00/uspmbjdCNMIJXFtNmLiKecSDqMNyqvsOwoIhEwPlvwsJoxccZVhbZmvONBlCEQnBMMWPCvQZtvhJCuDLSKRtHnQAwNtGqsCtCpaGa.pkg,,NO,The Pinball Arcade,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP2058/NPUB30713_00/uspmbjdCNMIJXFtNmLiKecSDqMNyqvsOwoIhEwPlvwsJoxccZVhbZmvONBlCEQnBMMWPCvQZtvhJCuDLSKRtHnQAwNtGqsCtCpaGa.pkg,,,,
NPUB30714,Rayman 3 HD,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30714_00/uwzXYqlrYrWuhLFyNeBRXKKPcFBhXhxPoMtSiBsNVTvdTkkqYTlRGUelgmiQWnvBxjIbjiDOlLIpfLCHJNNlIMuwiJMHFAWznbzNN.pkg,,NO,Rayman 3 HD,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30714_00/uwzXYqlrYrWuhLFyNeBRXKKPcFBhXhxPoMtSiBsNVTvdTkkqYTlRGUelgmiQWnvBxjIbjiDOlLIpfLCHJNNlIMuwiJMHFAWznbzNN.pkg,,,,
NPUB30718,The Expendables 2 Videogame,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30718_00/GuKBTTCtkOuwllOpYwOMZFoKOqlLHeKEsJnFHvzhnaQoYbFuGphrZMvZuQGoGNxZzpWetYpDCOsLTlYcaWErjOnGaVMnBxLYTfHiM.pkg,,NO,The Expendables 2 Videogame,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30718_00/GuKBTTCtkOuwllOpYwOMZFoKOqlLHeKEsJnFHvzhnaQoYbFuGphrZMvZuQGoGNxZzpWetYpDCOsLTlYcaWErjOnGaVMnBxLYTfHiM.pkg,,,,
