title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPEA00464,Beyond Two Souls Soundtrack,Soundtrack,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEA00464_00/TaSxnxAxMrFquCUqjipHxTfBNXxykWyQNIxHZqLWyhooozSrWKDBdCbGjKkhPDxm.pkg,EP9000-NPEA00464_00-GBEYONDTWO000001,YES,OTHER,PSN,SOUNDTRACK,NONE,
NPUB30604,Call of Duty: Black Ops Zombie Soundtrack,Soundtrack,US,http://zeus.dl.playstation.net/cdn/UP0002/NPUB30604_00/BTewiCufjVOeyjalwGPomdEaPwZJWxnmMdwywvEiebdsxwXheUKUIpPOXlBASDAalzfsCslRuGSDCrgrjfeahuoeDXTVxTwiGSoRp.pkg,UP0002-NPUB30604_00-CODBOSNDTRK00000,YES,OTHER,PSN,SOUNDTRACK,NONE,
NPEA00441,God of war Ascension - Soundtrack,Soundtrack,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEA00441_00/IVppFOhWPeCiVVsmRVGCdXOYDFOtjEslAqqmYfVDfLvpEODUoIxipunMoVRSEkvH.pkg,EP9000-NPEA00441_00-GGODOFWARA000001,YES,OTHER,PSN,SOUNDTRACK,NONE,
