GameId	Region	GameTitle	PKG direct link
NPUG80173	US	Syphon Filter: Logan's Shadow	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80173_00/e1sbDAKki3tuQR4t9Jr9tWiDTkiFdXnHV63lvKmLOPx755987yGXxtwjBpRexN3MDLlRnVha8Hf7UjqAiP4h6BLe3uCBE1SKaKmTP.pkg
NPUG80220	US	SOCOM: U.S. Navy SEALs Tactical Strike	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80220_00/Bqdk69tdd4jHXBkTob2x7KL7GHmeAAleT1J1uNfSebGV1g3NafssKNvw2h1MJNLFr0wCXrfIhdonruWBoplsKJ1US2RVnqfr5ai2g.pkg
NPUG80221	US	Super Stardust Portable	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80221_00/LYDvHovD58ODrK5jVLT5rrTd2Hkfr4L810Vt94XxjMvXNbNdGgL3A6YdtqDxElyB0u01SwJIp50txTNcpfCjUvXWBXqKh2PIMhHHs.pkg
NPUG80224	US	Everyday Shooter	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80224_00/IAme18JiDvisTMUvFLrSMtFkKNlMmPEKGK6RQMLV9q0FiK5B9gtoBcJBTpiGLyJHxRDl8SWsVrXypa6Qgw70tmwioQ2YqHOegojk7.pkg
NPUG80248	US	PixelJunk Monsters Deluxe	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80248_00/nEULtl008wK1nixGkn3JU5gvt4C5v6xkjhi9nui5UbrGI0KS4sr3G2bSYG0DjoxGy0pxicqn46GIAPrFvStl1NlpeboHDr0e0F8Ra.pkg
NPUG80293	US	BUZZ! Quiz World	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80293_00/w1V3Xlq6B8Hl26feAsOGsWXLANk9LvCRxFbqYIFDjQwJM6ywNp6i5N2IGpiuoIXX9Cr6xxM68jLrQyFkGyc3lHCaxMUmQNOR6JemW.pkg
NPUG80302	US	Hot Shots Tennis: Get a Grip	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80302_00/3BRsxo51mfxF6hJmEnUSUKpc4JWSIOOykP3F0lyMuSPKi3YioW1nYY6pwi3x54GvqVsxjHXSen0WsUPu6T0fkq7LhhWDuO4PD4im8.pkg
NPUG80303	US	echoshift	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80303_00/4iFnYknWugUTD3sMFXB9q1NRLLNUrElgyXsNUFou8yVC9YPcLMgOrbCKDX32UGEsMQqQ1t3BgDH6YBRyXCGb2Q4wjdynttppRNgSa.pkg
NPUG80320	US	Numblast	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80320_00/gEFESDjT37hkyUrSVHVVFVFPRaVyIcEovWtMsrdI7GekyKyk5vmpFLRIHEbWt3gttI7QVMnkRkqJpBerGPEftfjFW6DrO0iVimoMC.pkg
NPUG80321	US	Gravity Crash Portable	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80321_00/q4rRYNbLGgNEbSwSPuns576t5MecnMp4AO7ErVueNi3FRYY0RPNeaISldJI1H7DFCXio458LaBXPHiSxuiv0h4A4IubL5cTAJ3IXi.pkg
NPUG80328	US	Savage Moon: The Hera Campaign	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80328_00/suMT9jOPby7uEp3UgaEEuwuN5THNmlglHePTxKcwC7jV510nhxV9k3SLn2dwLiWYns5EIPNpvWNKG1F8jw0HqyBlp4W38WeMRVyiv.pkg
NPUG80329	US	Daxter	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80329_00/AmdfuErB5XCQCMfLWuKQDVx8dTCgLljBaviwxqdyX4QmelKjbvLXohGbiSu1GcVDUt1081oVFc1WhSa7yHbcRcl8GSDacHeYBwQkF.pkg
NPUG80330	US	Jak and Daxter: The Lost Frontier	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80330_00/BQV7Q6Y6L4Hptae4I2CIS0xp2YNcW0j2iRQ77lgArXgkpNKOrK64PLFIlbgaJTA7TmGs4IrGB9saPFuNuqLiCfiu8nSUYwu6otToY.pkg
NPUG80335	US	The Eye of Judgement: Legends	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80335_00/wSLHKEhFouelFgjWFpt9NOgl53jIqxU4O2oFbKBOWwpQqWogdDP9udAllRxD9a86WXFdx5EeRPvlrvjTwem7CcycSWKRbNmjyIp46.pkg
NPUG80403	US	Patchwork Heroes	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80403_00/FuWrajMipuqDfHWiOQQ5e8QHMwabmpNikAJ3amTXAtPpGAfdIV0jqYnhJnKehgdSLEPNJx7aMItKrCjAwa7l76Ssl6rI3UTeeMVST.pkg
NPUG80413	US	Piyotama	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80413_00/ESXK6yeNDvwjJpXUWK90tyHssGty8CcOSh3yLuLSHfDnMNFCO7MRvnFuSnXkQoKY1inbVwwH1WVAH9jN5SRmRo2bTVnkNCbWyLI74.pkg
NPUG80460	US	No Heroes Allowed!	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80460_00/8ELNMyLeFibbNIJnLiDkoaYD1J3XuO9COrW4aIlrDpd3BHh8mkG8c24C505qTjirflv539mAcabwxF7iCEXe9UHtk21VXEKDQPWnK.pkg
NPUG80471	US	LocoRoco Midnight Carnival Official Strategy Guide (Launcher)	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80471_00/jWqa2LyyKF6bSYKvPa2fNolyDkelup4fYiW9JK1p1ydFehksx35T7TomU7vK446Mm1fk063FreXoGJohjbEQaiGmPBVf5o0tQUdvM.pkg
NPUG80524	US	Hot Shots Shorties: Green Pack	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80524_00/RBiaXWbAZFQLMoZnUeXrwmDqBtthAjCqNojPYApnXQLLRaENVBZuyXseDsvddtgFeZxbGNKwDXaprKIVbNJmEPOlVexISgZInRYbQ.pkg
NPUG80527	US	Hot Shots Shorties: Blue Pack	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80527_00/LfnBnvSIchzUTUYHdiJAyWhwyIiPrcUaUEzJERRSRXkclBAUDdnNFfhrmiFHEVOWdoZeftoJHDcHPZLYAPfFHZBdLDFfNZZHWQJSc.pkg
NPUG80528	US	Hot Shots Shorties: Red Pack	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80528_00/xaoCtGPwqshJLQcSVjBOfgLbPoYyKYjDKozHEdXBNYOMIThYWlVBgEFUlBDHWTBgfpKlQbFMWlDyosqqzLuDMIKAeVXdRJBgeQTtm.pkg
NPUG80529	US	Hot Shots Shorties: Yellow Pack	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80529_00/ZwffgEvvxuKczvZWoUGaJdIivvacoLLxaeutQyTrxFDrDholKKTPUHnMJCkEZQCtGfLFHQTgIwPXadIpNptcDePHtoxVTefxNKNVp.pkg
NPUG80850	US	Geronimo Stilton: Return to the Kingdom of Fantasy	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80850_00/bNHcDMqmJViZddiiWeuMaIxyWpeSiFYdeQXLewlecTIPRPiCWFnTZvBBTPREvpbMmtCCjgHkRpXYDJiRWeSSkJgCMJKzRybeFmBOI.pkg
NPUG80862	US	Geronimo Stilton in the Kingdom of Fantasy	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80862_00/awjFRIXUUVbXRXLtRdtVGwIGLEpVJCsDBZOQNjoYPASrOUDqNhUzrSSyFjtTCPiwmxPkMOeUSgtAyyveYFXhDZSagirjaAKAsopFM.pkg
NPUG80893	US	InviZimals: The Lost Tribes	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80893_00/gIfrsSmkdYDubcfTnVSMDeiczJuyyyhXgESipZZopjsyLYIbZkkzRKlLYacvKdDK.pkg
NPUG98732	US	Patapon 2	http://zeus.dl.playstation.net/cdn/UP9000/NPUG98732_00/xj0vts3GkwiSxIi3Te2ijQeyD1kydt5KfO3uUUsrAJGGQEKnsHJLcdEx4VegeabeVkhTGTYVL9O9kpEXnPGcc9pM4VBhgUo3RGlbb.pkg
NPUG98760	US	inviZimals : Shadow Zone	http://zeus.dl.playstation.net/cdn/UP9000/NPUG98760_00/zQudknDElENKouHdxUDKYYosHqNGzzkExxtHIDKUTPdoSjZZhLRAOvycGUgHXHuL.pkg
NPUG98775	US	Phineas and Ferb: Across the Second Dimension	http://zeus.dl.playstation.net/cdn/UP9000/NPUG98775_00/VnVDNRapyIyZTyCZRAbqnvDSVdcGksIYOZlxRIiGLACAagOgmgrFveRnjgRPXwwByzyERwXubNYIYmbOPswYiXJfICxfjCYQEgckS.pkg
