GameId	Region	GameTitle	URL	Eboot	Icon0	ParamSfo	Pic1	Snd0	Have
BLUS30074	US	Guitar Hero III: Legends of Rock		games/Guitar Hero III: Legends of Rock [BLUS30074]/PS3_GAME/USRDIR/EBOOT.BIN	games/Guitar Hero III: Legends of Rock [BLUS30074]/PS3_GAME/ICON0.PNG	games/Guitar Hero III: Legends of Rock [BLUS30074]/PS3_GAME/PARAM.SFO	games/Guitar Hero III: Legends of Rock [BLUS30074]/PS3_GAME/PIC1.PNG	games/Guitar Hero III: Legends of Rock [BLUS30074]/PS3_GAME/SND0.AT3	0
BLUS30075	US	World Series of Poker 2008: Battle for the Bracelets		games/World Series of Poker 2008: Battle for the Bracelets [BLUS30075]/PS3_GAME/USRDIR/EBOOT.BIN	games/World Series of Poker 2008: Battle for the Bracelets [BLUS30075]/PS3_GAME/ICON0.PNG	games/World Series of Poker 2008: Battle for the Bracelets [BLUS30075]/PS3_GAME/PARAM.SFO	games/World Series of Poker 2008: Battle for the Bracelets [BLUS30075]/PS3_GAME/PIC1.PNG	games/World Series of Poker 2008: Battle for the Bracelets [BLUS30075]/PS3_GAME/SND0.AT3	0
BLUS30076	US	Rapala Fishing Frenzy 2009		games/Rapala Fishing Frenzy 2009 [BLUS30076]/PS3_GAME/USRDIR/EBOOT.BIN	games/Rapala Fishing Frenzy 2009 [BLUS30076]/PS3_GAME/ICON0.PNG	games/Rapala Fishing Frenzy 2009 [BLUS30076]/PS3_GAME/PARAM.SFO	games/Rapala Fishing Frenzy 2009 [BLUS30076]/PS3_GAME/PIC1.PNG	games/Rapala Fishing Frenzy 2009 [BLUS30076]/PS3_GAME/SND0.AT3	0
BLUS30077	US	NBA 2K8		games/NBA 2K8 [BLUS30077]/PS3_GAME/USRDIR/EBOOT.BIN	games/NBA 2K8 [BLUS30077]/PS3_GAME/ICON0.PNG	games/NBA 2K8 [BLUS30077]/PS3_GAME/PARAM.SFO	games/NBA 2K8 [BLUS30077]/PS3_GAME/PIC1.PNG	games/NBA 2K8 [BLUS30077]/PS3_GAME/SND0.AT3	0
BLUS30078	US	College Hoops 2K8		games/College Hoops 2K8 [BLUS30078]/PS3_GAME/USRDIR/EBOOT.BIN	games/College Hoops 2K8 [BLUS30078]/PS3_GAME/ICON0.PNG	games/College Hoops 2K8 [BLUS30078]/PS3_GAME/PARAM.SFO	games/College Hoops 2K8 [BLUS30078]/PS3_GAME/PIC1.PNG	games/College Hoops 2K8 [BLUS30078]/PS3_GAME/SND0.AT3	0
BLUS30079	US	LEGO Star Wars: The Complete Saga		games/LEGO Star Wars: The Complete Saga [BLUS30079]/PS3_GAME/USRDIR/EBOOT.BIN	games/LEGO Star Wars: The Complete Saga [BLUS30079]/PS3_GAME/ICON0.PNG	games/LEGO Star Wars: The Complete Saga [BLUS30079]/PS3_GAME/PARAM.SFO	games/LEGO Star Wars: The Complete Saga [BLUS30079]/PS3_GAME/PIC1.PNG	games/LEGO Star Wars: The Complete Saga [BLUS30079]/PS3_GAME/SND0.AT3	0
BLUS30080	US	Stranglehold		games/Stranglehold [BLUS30080]/PS3_GAME/USRDIR/EBOOT.BIN	games/Stranglehold [BLUS30080]/PS3_GAME/ICON0.PNG	games/Stranglehold [BLUS30080]/PS3_GAME/PARAM.SFO	games/Stranglehold [BLUS30080]/PS3_GAME/PIC1.PNG	games/Stranglehold [BLUS30080]/PS3_GAME/SND0.AT3	0
BLUS30081	US	Stranglehold (Collector's Edition)		games/Stranglehold (Collector's Edition) [BLUS30081]/PS3_GAME/USRDIR/EBOOT.BIN	games/Stranglehold (Collector's Edition) [BLUS30081]/PS3_GAME/ICON0.PNG	games/Stranglehold (Collector's Edition) [BLUS30081]/PS3_GAME/PARAM.SFO	games/Stranglehold (Collector's Edition) [BLUS30081]/PS3_GAME/PIC1.PNG	games/Stranglehold (Collector's Edition) [BLUS30081]/PS3_GAME/SND0.AT3	0
BLUS30083	US	The Golden Compass		games/The Golden Compass [BLUS30083]/PS3_GAME/USRDIR/EBOOT.BIN	games/The Golden Compass [BLUS30083]/PS3_GAME/ICON0.PNG	games/The Golden Compass [BLUS30083]/PS3_GAME/PARAM.SFO	games/The Golden Compass [BLUS30083]/PS3_GAME/PIC1.PNG	games/The Golden Compass [BLUS30083]/PS3_GAME/SND0.AT3	0
BLUS30084	US	Juiced 2: Hot Import Nights		games/Juiced 2: Hot Import Nights [BLUS30084]/PS3_GAME/USRDIR/EBOOT.BIN	games/Juiced 2: Hot Import Nights [BLUS30084]/PS3_GAME/ICON0.PNG	games/Juiced 2: Hot Import Nights [BLUS30084]/PS3_GAME/PARAM.SFO	games/Juiced 2: Hot Import Nights [BLUS30084]/PS3_GAME/PIC1.PNG	games/Juiced 2: Hot Import Nights [BLUS30084]/PS3_GAME/SND0.AT3	0
BLUS30086	US	Unreal Tournament III		games/Unreal Tournament III [BLUS30086]/PS3_GAME/USRDIR/EBOOT.BIN	games/Unreal Tournament III [BLUS30086]/PS3_GAME/ICON0.PNG	games/Unreal Tournament III [BLUS30086]/PS3_GAME/PARAM.SFO	games/Unreal Tournament III [BLUS30086]/PS3_GAME/PIC1.PNG	games/Unreal Tournament III [BLUS30086]/PS3_GAME/SND0.AT3	0
BLUS30087	US	The Elder Scrolls IV: Oblivion (Game of the Year Edition)		games/The Elder Scrolls IV: Oblivion (Game of the Year Edition) [BLUS30087]/PS3_GAME/USRDIR/EBOOT.BIN	games/The Elder Scrolls IV: Oblivion (Game of the Year Edition) [BLUS30087]/PS3_GAME/ICON0.PNG	games/The Elder Scrolls IV: Oblivion (Game of the Year Edition) [BLUS30087]/PS3_GAME/PARAM.SFO	games/The Elder Scrolls IV: Oblivion (Game of the Year Edition) [BLUS30087]/PS3_GAME/PIC1.PNG	games/The Elder Scrolls IV: Oblivion (Game of the Year Edition) [BLUS30087]/PS3_GAME/SND0.AT3	0
BLUS30089	US	Assassin's Creed		games/Assassin's Creed [BLUS30089]/PS3_GAME/USRDIR/EBOOT.BIN	games/Assassin's Creed [BLUS30089]/PS3_GAME/ICON0.PNG	games/Assassin's Creed [BLUS30089]/PS3_GAME/PARAM.SFO	games/Assassin's Creed [BLUS30089]/PS3_GAME/PIC1.PNG	games/Assassin's Creed [BLUS30089]/PS3_GAME/SND0.AT3	0
BLUS30090	US	TimeShift		games/TimeShift [BLUS30090]/PS3_GAME/USRDIR/EBOOT.BIN	games/TimeShift [BLUS30090]/PS3_GAME/ICON0.PNG	games/TimeShift [BLUS30090]/PS3_GAME/PARAM.SFO	games/TimeShift [BLUS30090]/PS3_GAME/PIC1.PNG	games/TimeShift [BLUS30090]/PS3_GAME/SND0.AT3	0
BLUS30091	US	Beowulf: The Game		games/Beowulf: The Game [BLUS30091]/PS3_GAME/USRDIR/EBOOT.BIN	games/Beowulf: The Game [BLUS30091]/PS3_GAME/ICON0.PNG	games/Beowulf: The Game [BLUS30091]/PS3_GAME/PARAM.SFO	games/Beowulf: The Game [BLUS30091]/PS3_GAME/PIC1.PNG	games/Beowulf: The Game [BLUS30091]/PS3_GAME/SND0.AT3	0
BLUS30093	US	Time Crisis 4		games/Time Crisis 4 [BLUS30093]/PS3_GAME/USRDIR/EBOOT.BIN	games/Time Crisis 4 [BLUS30093]/PS3_GAME/ICON0.PNG	games/Time Crisis 4 [BLUS30093]/PS3_GAME/PARAM.SFO	games/Time Crisis 4 [BLUS30093]/PS3_GAME/PIC1.PNG	games/Time Crisis 4 [BLUS30093]/PS3_GAME/SND0.AT3	0
BLUS30094	US	Haze		games/Haze [BLUS30094]/PS3_GAME/USRDIR/EBOOT.BIN	games/Haze [BLUS30094]/PS3_GAME/ICON0.PNG	games/Haze [BLUS30094]/PS3_GAME/PARAM.SFO	games/Haze [BLUS30094]/PS3_GAME/PIC1.PNG	games/Haze [BLUS30094]/PS3_GAME/SND0.AT3	0
BLUS30096	US	Assassin's Creed (Limited Edition)		games/Assassin's Creed (Limited Edition) [BLUS30096]/PS3_GAME/USRDIR/EBOOT.BIN	games/Assassin's Creed (Limited Edition) [BLUS30096]/PS3_GAME/ICON0.PNG	games/Assassin's Creed (Limited Edition) [BLUS30096]/PS3_GAME/PARAM.SFO	games/Assassin's Creed (Limited Edition) [BLUS30096]/PS3_GAME/PIC1.PNG	games/Assassin's Creed (Limited Edition) [BLUS30096]/PS3_GAME/SND0.AT3	0
BLUS30097	US	MX vs. ATV: Untamed		games/MX vs. ATV: Untamed [BLUS30097]/PS3_GAME/USRDIR/EBOOT.BIN	games/MX vs. ATV: Untamed [BLUS30097]/PS3_GAME/ICON0.PNG	games/MX vs. ATV: Untamed [BLUS30097]/PS3_GAME/PARAM.SFO	games/MX vs. ATV: Untamed [BLUS30097]/PS3_GAME/PIC1.PNG	games/MX vs. ATV: Untamed [BLUS30097]/PS3_GAME/SND0.AT3	0
BLUS30098	US	NCAA March Madness '08		games/NCAA March Madness '08 [BLUS30098]/PS3_GAME/USRDIR/EBOOT.BIN	games/NCAA March Madness '08 [BLUS30098]/PS3_GAME/ICON0.PNG	games/NCAA March Madness '08 [BLUS30098]/PS3_GAME/PARAM.SFO	games/NCAA March Madness '08 [BLUS30098]/PS3_GAME/PIC1.PNG	games/NCAA March Madness '08 [BLUS30098]/PS3_GAME/SND0.AT3	0
BLUS30099	US	FIFA Street 3		games/FIFA Street 3 [BLUS30099]/PS3_GAME/USRDIR/EBOOT.BIN	games/FIFA Street 3 [BLUS30099]/PS3_GAME/ICON0.PNG	games/FIFA Street 3 [BLUS30099]/PS3_GAME/PARAM.SFO	games/FIFA Street 3 [BLUS30099]/PS3_GAME/PIC1.PNG	games/FIFA Street 3 [BLUS30099]/PS3_GAME/SND0.AT3	0
