GameId	Region	GameTitle	URL
SCAJ20147	AS	Heavy Metal Thunder	
SCAJ20149	AS	Kingdom Hearts - Final Mix	
SCAJ20150	AS	Critical Velocity	
SCAJ20151	AS	MotoGP 4	
SCAJ20152	AS	Urban Reign	
SCAJ20153	AS	Code Age Commanders	
SCAJ20154	AS	Prince of Persia - Warrior Within	
SCAJ20155	AS	Yoshitsune Eiyuuden Shura - The Story of Hero Yoshitsune Shura	
SCAJ20156	AS	Gallop Racer 8 - Live Horse Racing	
SCAJ20157	AS	Ratchet & Clank 4th - GiriGiri Gingano Giga-battle	
SCAJ20158	AS	Ikusa Gami	
SCAJ20161	AS	Siren 2	
SCAJ20162	AS	Rogue Galaxy	
SCAJ20163	AS	Tales of the Abyss	
SCAJ20164	AS	Kingdom Hearts II	
SCAJ20165	AS	Bleach - Hanatareshi Yabou	
SCAJ20166	AS	Front Mission 5 - Scars of the War	
SCAJ20169	AS	Dirge of Cerberus - Final Fantasy VII	
SCAJ20171	AS	Zettai Zetsumei Toshi 2 - Itetsuita Kioku Tachi	
SCAJ20172	AS	Final Fantasy XII	
SCAJ20173	AS	Ace Combat Zero - The Belkan War	
SCAJ20175	AS	Dragon Quest - Shonen Yangus to Fushigi no Dungeon	
SCAJ20177	AS	Valkyrie Profile 2 - Silmeria	
SCAJ20179	AS	Xenosaga Episode III - Also sprach Zarathustra	
SCAJ20180	AS	Xenosaga Episode III - Also sprach Zarathustra	
SCAJ20181	AS	Minna no Tennis	
SCAJ20182	AS	Tales of Destiny	
SCAJ20183	AS	Wild ARMs - The Vth Vanguard	
SCAJ20184	AS	Seiken Densetsu 4	
SCAJ20185	AS	Super Robot Taisen - Original Generations	
SCAJ20188	AS	Final Fantasy XII International Zodiac Job System	
SCAJ20201	AS	Super Robot Taisen Z	
SCAJ25004	AS	Kingdom Hearts - Final Mix	
SCAJ25008	AS	Initial D - Street Stage	
SCAJ25012	AS	Final Fantasy X-2	
SCAJ25026	AS	Kunoichi Shinobi	
SCAJ25034	AS	Sakura Taisen Monogatari	
SCAJ25037	AS	Astro Boy Atom	
SCAJ25045	AS	Sakura Taisen V - Episode 0	
SCAJ30001	AS	Xenosaga Episode I - Chikara he no Ishi	
SCAJ30002	AS	Wild ARMs - Alter Code F	
SCAJ30006	AS	Gran Turismo 4	
SCAJ30008	AS	Gran Turismo 4	
SLAJ25002	AS	Shinobi	
SLAJ25003	AS	imited SaGa	
SLAJ25004	AS	Kingdom Hearts - Final Mix	
SLAJ25005	AS	World Soccer Winning Eleven 7	
SLAJ25006	AS	Virtual Fighter 4 - Evolution	
SLAJ25007	AS	NBA 2K3	
SLAJ25008	AS	Initial D - Special Stage	
SLAJ25011	AS	Shin Sangoku Musou 3	
SLAJ25012	AS	Final Fantasy X-2	
SLAJ25014	AS	Virtual On - Marz	
SLAJ25016	AS	Sangokushi Senki 2	
SLAJ25018	AS	Shutokou Battle 01	
SLAJ25023	AS	Shin Sangoku Musou 3 - Mushoden	
SLAJ25026	AS	Kunoichi Shinobi	
SLAJ25027	AS	Sonic Heroes	
SLAJ25033	AS	Puyo Puyo Fever	
SLAJ25034	AS	Sakura Taisen - Mysterious Paris	
SLAJ25035	AS	Sengoku Musou	
SLAJ25037	AS	Astro Boy Atom	
SLAJ25039	AS	Beni no Umi 2	
SLAJ25040	AS	Shin Sangoku Musou 3 - Empires	
SLAJ25042	AS	Virtua Fighter - Cyber Generation	
SLAJ25046	AS	NBA Live 2005	
SLAJ25048	AS	Sengoku Musou Mushoden	
SLAJ25049	AS	Kengo 3	
SLAJ25054	AS	zzz_unknown_asian_title	
SLAJ25055	AS	Def Jam - Fight for N.Y.	
SLAJ25056	AS	Shining Tears	
SLAJ25057	AS	Kessen III	
SLAJ25058	AS	GoldenEye - Rogue Agent	
SLAJ25059	AS	NBA Street V3	
