GameId	Region	GameTitle	Link	zRIFId	ContentId	OriginalGameTitle	Firmware
PCSG90126	JP	Soushuu Senshinkan Gakuen: Hachimyoujin (DEMO)	http://zeus.dl.playstation.net/cdn/JP0061/PCSG90126_00/aTzaHmyzPCVfiYBRtbRFnTkRCTiLoTzpaQNFnOADTkPHJEtSgFwGpuEZGvkMEdVAvazcEPoBgofaBeglJpQqdCGWlJXvWGNcXlZip.pkg	KO5ifR1dQ+d7BQDdAzbV3dLA0MgMZH+wq1+wh6eft6NfSJCno08YPv99PJ2TGBjakx2iEKN2Q/n/ntEYH9wAAPZBFQUA	JP0061-PCSG90126_00-SENSHINKANTRIALV	相州戦神館學園 八命陣 天之刻 体験版	3.15
PCSG90142	JP	Hideboh: Tap Dance Hero (DEMO)	http://zeus.dl.playstation.net/cdn/JP0369/PCSG90142_00/iaOMhutYuGEKHSBKtVOWRiMnAvOyjUMalFITSsUqSUFWFOwmozruRiJUqHRQbmnntnJKYYMKaIVpHaFTBBoEiaFSUaQbpcjwuuOsN.pkg	KO5ifR1dQ+d7BRgYm1mCbbE0MDQxAtkf4hjg4ujn7OrhGuQPshOf/45kGGdM+1lzxZTPhtdvP8vN0Rgf3AAAznUTwwAA	JP0369-PCSG90142_00-TAPDANCEHERO0001	HIDEBOH タップダンスHERO 体験版	3.15
PCSG90145	JP	Kazoku Keikaku: Re:Tsumugu Ito (DEMO)	http://zeus.dl.playstation.net/cdn/JP0505/PCSG90145_00/KRcsmunzlwlZYlwwZepITjzeaXmrjwuYqFTIjxzFtsldrvSvqWNSKvXyMwrnoUsVwCajShqrxQUXeWlBDcBcJHlLBYRcLQwHOleut.pkg	KO5ifR1dQ+d7BQAtNQXbYmlgaGIKsj8kKNTVzdHX0ycyJAhkKT7/dSQsEt9sbThrQ+3WbYU3TVJHY3xwAwBZ9hSw	JP0505-PCSG90145_00-TRUEFAMILYTR0000	家族計画 Re:紡ぐ糸体験版	3.15
PCSG90150	JP	DRAMAtical Murder re:code (DEMO)	http://zeus.dl.playstation.net/cdn/JP0169/PCSG90150_00/oohrgXvGVKOnzUuFbiPOlpQYRzcuOYBJaqiQdyhNQMirpzqKCnOBOTnsWhsvFTSkcUfBIhXNPWnhGgRERMTDLQCuCXSYgxNfBcXlC.pkg	KO5ifR1dQ+d7BRgYmlmCbbE0MITY7xLk6OsY4uns6BMS5OnoY4DPf5u+Lj1esk857rzG7+AlfBLbR2N8cAMAvuYVfwAA	JP0169-PCSG90150_00-DRAMATICALTRIAL0	DRAMAtical Murder re:code 体験版	3.15
PCSG90155	JP	Kadenz fermata//Akkord:fortissimo Story Trial (DEMO)	http://zeus.dl.playstation.net/cdn/JP0745/PCSG90155_00/suMTRecMKzmABySkHQtiMrcPJUwLrvjnYmxZPaxpMvaYeBJthYcAuifYbqqeCETFayqRbDcMGEWYDOIFdVhnYGeEjaIcFkAjCcnAE.pkg	KO5ifR1dQ+d7BRiYm5iCbbE0MDQ1Bdnv7eji6hcVHBIS5OnoE+YahM9/kwXi+A1+B6oy3HRIczN4fWQ0xgc3AACb9hOc	JP0745-PCSG90155_00-KADENZSTTRIALVER	カデンツァ フェルマータ アコルト: フォルテシモ ストーリー体験版	3.3
PCSG90158	JP	Hitotsu Tobashi Renai V (DEMO)	http://zeus.dl.playstation.net/cdn/JP0394/PCSG90158_00/YcpDdgrmNWGuSHACYGeTBAOOtlAJiBNkDYuKLQpiaAWNrKaoTIhHroQBkZAmJVfQmcmDdlDMCmzEgKSGIYoZjnJtqRrDpXEztGrDp.pkg	KO5ifR1dQ+d7BRgYW5qAbbE0MDS1ANkfEOTv5eocEuYZ4mgIshOf/7QPrj3ZZxnGey097A93RozWaIwPbgAA5jMTzgAA	JP0394-PCSG90158_00-PROJECTVITA10001	ひとつ飛ばし恋愛Ｖ 体験版	3.35
PCSG90171	JP	Friend to Lover (DEMO)	http://zeus.dl.playstation.net/cdn/JP0394/PCSG90171_00/JP0394-PCSG90171_00-PROJECTVITA10002_bg_1_b28418b4ca1981ae1c789fdddb4a367a1da892b2.pkg	KO5ifR1dQ+d7BRgYW5qAbbE0MDQ3BNkfEOTv5eocEuYZ4mgIcgM+/5VrOHYcUPna+i4t4+SVkp7vozE+uAEAJScVzAAA	JP0394-PCSG90171_00-PROJECTVITA10002	Friend to Lover ～フレラバ～ 体験版	3.36
PCSG90173	JP	Hyakka Ryouran Elixir: Record of Torenia Revival (DEMO)	http://zeus.dl.playstation.net/cdn/JP0394/PCSG90173_00/JP0394-PCSG90173_00-ELXILGAMEVITATKB_bg_1_718123a4060bb346a57b1fa194d6a28c55770bdd.pkg	KO5ifR1dQ+d7BRgYW5qAbbE0MDQ3Btnv6hPh6ePu6Osa5hniGOLthM9/x2Rd2/N+V77Pq7lm2lEtzDMa44MbAACEiRS+	JP0394-PCSG90173_00-ELXILGAMEVITATKB	百花繚乱エリクシル～Record of Torenia Revival～ 体験版	3.36
PCSG99020	JP	XBLAZE LOST: MEMORIES (DEMO)	http://zeus.dl.playstation.net/cdn/JP0036/PCSG99020_00/JP0036-PCSG99020_00-XBLAZE2VITATRI00_bg_1_0dd1b891f9e322e6a09ec8eea4fe3faceb9f13a9.pkg	KO5ifR1dQ+d7BQDtNwPbYmlpYAS2P8LJxzHK1SjMM8QxJMgTaAYeMKti49zJ0Yc5Z2iLOEro3z82GuODGwAAUe0UDAAA	JP0036-PCSG99020_00-XBLAZE2VITATRI00	XBLAZE LOST: MEMORIES 体験版	3.36
PCSH00114	ASIA	The Legend of Heroes: Trails of Cold Steel II (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/HP0425/PCSH00114_00/uPCRLMuKxKhOvgeGpPgQXIXABEZLpVUpjHsvKxDKIbgmHdMbPXPhbJkjUUzuJvCOTthqRHVhshpVbzHreTPpevZBZRvmxzuMctYZW.pkg	MISSING	HP0425-PCSH00114_00-EDSENNOKISEKI2ND	영웅전설 섬의 궤적Ⅱ 체험판	3.15
PCSH00106	ASIA	Toukiden: Kiwami (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/KP5014/PCSH00106_00/KP5014-PCSH00106_00-PKGTOUKIDENDEMO0_bg_1_1ba49bb13e184fe2aae7edfc016db3e60d2b1c5a.pkg	MISSING	KP5014-PCSH00106_00-PKGTOUKIDENDEMO0	토귀전 극 체험판	3.35
PCSH00271	ASIA	Dragon Quest Builders (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/HP0082/PCSH00271_00/HP0082-PCSH00271_00-BUILDERS00000000_bg_1_f3f46ff525f97dab500dca8d9f424c5d30f69ff2.pkg	MISSING	HP0082-PCSH00271_00-BUILDERS00000000	드래곤 퀘스트 빌더즈 아레프갈드를 부활시켜라 체험판	3.57
PCSH10014	ASIA	Toukiden 2 (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/KP5014/PCSH10014_00/KP5014-PCSH10014_00-TOUKIDEN2DEMO200_bg_1_f030e88d995d3d2e42fc9cb58ed352b43bfed08c.pkg	KO5ifR1dQ+d7B5gaGJqAVHsYAo03Adkf4h/q7eni6mfk4urrbwQ0Aw+4XXHOpfW3mvut69N01AoPhI7G+OAGABx0FSUA	KP5014-PCSH10014_00-TOUKIDEN2DEMO200	토귀전２ 인계 체험판	3.61
PCSH10040	ASIA	Valkyria Revolution Prologue (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/HP0177/PCSH10040_00/HP0177-PCSH10040_00-ARVALKYRIE000100_bg_1_370a322116f56ba818a4acb9506cfd685d5b5704.pkg	KO5ifR1dg/J5YXyPAANDc3OQag9DkCPA9geFOfp4RwZ5giwCiuLzX3z+S4luESb3npjAsIQotfujMT64AQDQkxKU	HP0177-PCSH10040_00-ARVALKYRIE000100	푸른 혁명의 발큐리아 서장 체험판	3.63
PCSH10070	ASIA	Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary (KOR) (DEMO) (3.61+) [3.65]	http://zeus.dl.playstation.net/cdn/HP0082/PCSH10070_00/HP0082-PCSH10070_00-APPCONVVITAXXXXX_bg_1_7d973ef2c6923e5ab4957fdadbcb58387e99f53f.pkg	KO5ifR1dQ+d7BABdAbbFwxDkKLD9AQFA+8PCPEMcI0AAn/8+7T19vv9x52GNwEOBwd9nTBiN8cENAATkF28A	HP0082-PCSH10070_00-APPCONVVITAXXXXX	포춘 스트리트 DRAGON QUEST & FINAL FANTASY 30th ANNIVERSARY 체험판	3.65
PCSH10063	ASIA	The Legend of Heroes: Sora No Kiseki SC Evolution (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/HP0425/PCSH10063_00/HP0425-PCSH10063_00-SCEVODEMO0000000_bg_1_544c91916e4d97610b1805ac4879db4b1d0430f0.pkg	KO5ifR1dg/J5YXyPAAMTI1OQag9DoMuMQfYHO7uG+bu4+vpDLcXnv/Bwe00DtuqVEmIbjrPEyquNxvjgBgBqNREl	HP0425-PCSH10063_00-SCEVODEMO0000000	영웅전설 하늘의 궤적 SC Evolution 체험판	3.65
PCSH10086	ASIA	The Legend of Heroes: Sora No Kiseki the 3rd Evolution (KOR) (DEMO)	http://zeus.dl.playstation.net/cdn/HP0425/PCSH10086_00/HP0425-PCSH10086_00-THIRDEVODEMO0000_bg_1_b48469b49245612a910feba7d8af4fe266f72f96.pkg	KO5ifR1dg/J5YXyPAAMTI1OQag9DoHvMQPaHeHgGubiG+bu4+vqDLMXnvzwjnW9H293P9sgIzO/Y2yM6GuODGwAAcOsUIwAA	HP0425-PCSH10086_00-THIRDEVODEMO0000	영웅전설 하늘의 궤적 the 3rd Evolution 체험판	3.67
PCSG90334	JP	Koisuru Otome to Shugo no Tate: Bara no Seibo (DEMO)	http://zeus.dl.playstation.net/cdn/JP0741/PCSG90334_00/JP0741-PCSG90334_00-KOITATE000000000_bg_1_7b6860cbd68abb2b94a6720a33b9321434126211.pkg	KO5ifR1dQ+d7BRiYm4BNdbc0MDY2Adnv7e8Z4hjiCrcUn/+uyh23DpYrOsFm/PA5j1Rx12iMD24AAGvlEvoA	JP0741-PCSG90334_00-KOITATE000000000	恋する乙女と守護の楯～薔薇の聖母～体験版	3.69
PCSE00934	US	Dragon Quest Builders - Demo	http://zeus.dl.playstation.net/cdn/UP0082/PCSE00934_00/UP0082-PCSE00934_00-BUILDERS00000000_bg_1_ed5ce0e18f444d15122e8909719346475b02700d.pkg	KO5ifR1dg/J5YfzQAKArjKCmWhqbgOx3CvX0cXENCoZZis9/wrVxfTwbBB1Djqdt0nEt3DQa44MbAADyJRKv	UP0082-PCSE00934_00-BUILDERS00000000	DRAGON QUEST BUILDERS DEMO	3.6
PCSE00289	US	Farming Simulator (DEMO)	http://ares.dl.playstation.net/cdn/UP4399/PCSE00289_00/qSpEXlJlmcCRsGRmbRjIvnxEyKFUdEKTnMQqMwGoMswvVdBRJmHOQaazwLJXFqFs.pkg	KO5ifR1dg/J5YfzQABNjS0uoqUYWliD73RyDfD393IM9fUN9XFx9/fH5T27do2u7j06PdX0jlG/Bdj15NMYHNwAArRkVawAA	UP4399-PCSE00289_00-FARMINGSIMULDEMO	Farming Simulator DEMO	2.12
PCSG90333	JP	IxSHE Tell (DEMO)	http://zeus.dl.playstation.net/cdn/JP0741/PCSG90333_00/JP0741-PCSG90333_00-PSVDEMOAPP000001_bg_1_2b62b1a5d43f5b6581ef0e709015ab7caaf73cc9.pkg	KO5ifR1dQ+d7BRiYm4BNdbc0MDY2BtkfEBzm4urr7xgQALETn/8WXr1/5Fiav+D6ewUTjEpj+EdjfHADAJ8hFNgA	JP0741-PCSG90333_00-PSVDEMOAPP000001	IxSHE Tell 体験版	3.69
PCSC90034	JP	SOUL SACRIFICE DELTA CO-OP (DEMO)	http://zeus.dl.playstation.net/cdn/JP9000/PCSC90034_00/MWTJkUyLDwjUuPcQPqndApyoNYhqySoYNLGhdzSFtPzgwbaZHPncZMEbTOGfWaTxVrVxUHKeSWRuKgfCWzOOUtbwtRVuYuuugsReP.pkg	MISSING	JP9000-PCSC90034_00-SOULSACDELTAOPEN	SOUL SACRIFICE DELTA 「共闘」体験版	3
PCSF00152	EU	LittleBigPlanet PS Vita Beta Trial	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00152_00/vsIFwAtSqofyXOkqMughMboOHOmvDDKzCpJsoJBIqKOvgsIRsCUThBNmdJVBcbss.pkg	MISSING	EP9000-PCSF00152_00-LBPVITABETATRIAL	LittleBigPlanet PS Vita Beta Trial	1.67
PCSF00387	EU	Killzone Mercenary:BetaTrial	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00387_00/bNBJOZfYLEztWrVFdZsGVuyPyEYYVbNvYYOwglOATtQYTypJoJkXYqhjLXuXCSrO.pkg	KO5ifR1dQ+e7BlgiTDO2MAfZ7x3lG+DhGOxq7OQaAjILn/+W3JNdcCayo4Y9ZsfPc7vV+0ZjfHADAIMsFWcA	EP9000-PCSF00387_00-KZMPHASE3BETA000	Killzone Mercenary:BetaTrial	2.12
PCSH00048	ASIA	Toukiden (DEMO)	http://zeus.dl.playstation.net/cdn/HP0106/PCSH00048_00/sQuNpaqbVNTGQrWzQhjNUWVBhZDvrQurhJvvnDknFNzThhLUNcBrGbJhLIkUVLUCfujjIPNMbtLEFzOecFJOijIVlDoKsfnEgXhbV.pkg	MISSING	HP0106-PCSH00048_00-PKGTOUKIDENTRIAL	討鬼傳 體驗版	2.6
PCSB00082	EU	EA SPORTS FIFA Football (DEMO)	http://ares.dl.playstation.net/cdn/EP0006/PCSB00082_00/CHkRCFjdNewwmuDJBKNFdPOwWDixqtFnfdvPrjdQmbontGTDqSVGcUbQOAWoSONK.pkg	KO5ifR1dg/J5YXzXAJCDYKotjED2u3m6OYZ5hjgaGRgagezE57/PT9im//9zQD5a6Ryf6LFj80ZjfHADAPriFR0A	EP0006-PCSB00082_00-FIFAVITA20120001	EA SPORTS FIFA Football Demo	1.5
PCSB00083	EU	EA SPORTS FIFA Football (DEMO)	http://ares.dl.playstation.net/cdn/EP0006/PCSB00083_00/FTZyeBhJqcMXaRtFhaqLfUaOoeMphURciXiWVuVxTdDYioSLMcxjNSgSWOlgQrwq.pkg	KO5ifR1dg/J5YXzXAJCDYKotjEH2u3m6OYZ5hjgaGRgagezE578vs4/PzlFn35STerJU4Ognz9EYH9wAABUiFJQA	EP0006-PCSB00083_00-FIFAVITA20120001	EA SPORTS FIFA Football Démo	1.5
PCSB00086	EU	EA SPORTS FIFA Football (DEMO)	http://ares.dl.playstation.net/cdn/EP0006/PCSB00086_00/EmajOiNTUmPkkAAITonEdJqBaKrNZfUlatxQBBNkIzRDLBrPCWuhVIaDBgiAwMSN.pkg	KO5ifR1dg/J5YXzXAJCDYKotzED2u3m6OYZ5hjgaGRgagezE5z/+xNcspxNC3QV+V7d++vH5+WiMD24AAAayFTAA	EP0006-PCSB00086_00-FIFAVITA20120001	EA SPORTS FIFA Football Demo	1.5
PCSB00112	EU	Touch My Katamari (DEMO)	http://ares.dl.playstation.net/cdn/EP0700/PCSB00112_00/HuZSTGfTTzmfYNZRqILhZdTulDdcCBZSWPyBRIRDaaTuQTCdXBdTtSAMuAlJCNfm.pkg	KO5ifR1dg/J5YXzXAJBLoKoNDY1A9ns7hjj6OgZ5ugBJ50igGXhABefX0IOxCgyfFm++fZ8lwGo0xgc3AAC8qBRU	EP0700-PCSB00112_00-KATAMARIDAMACY00	Touch My Katamari Demo	1.52
PCSB00117	EU	Shinobido 2: Revenge of Zen (DEMO)	http://ares.dl.playstation.net/cdn/EP0700/PCSB00117_00/oWDlbHIdlcOTdpZMrqbHjFzVkMIJNtKujNuAYXsVMplhScoTSIrlBhbpAVVYPKIK.pkg	KO5ifR1dg/J5YXzXAJBLoKoNDc3B9gcEGCADfP5j9plhkv7NflLbxqhr9sUPokdjfHADAON8E1UA	EP0700-PCSB00117_00-APP0000000000000	Shinobido 2: Revenge of Zen Demo	1.61
PCSB00300	EU	Knytt Underground (DEMO)	http://ares.dl.playstation.net/cdn/EP4337/PCSB00300_00/aUWUkCbEHaJJNKIhtYcNQycTTWdMKqmYBDudQxMXOxKpAVwRWqhzCtgvVjymImrk.pkg	KO5ifR1dg/J5YXzXABNjY3OoaqBDQPaHevtFhoSE+rm4Gri4+hoY4fNfZbVn2Ve+rRsDVj/4rbbkWPVojA9uAABmKRXr	EP4337-PCSB00300_00-UKNYTTUNDE0DEM02	Knytt Underground DEMO	2.01
PCSE00059	US	EA SPORTS FIFA Football (DEMO)	http://ares.dl.playstation.net/cdn/UP0006/PCSE00059_00/KmZAmvCltxPPWSBBJPAmRCXiobEiisxKMHhBbXJRnzYFpMnuUvPUBrgXPQTBVSdpuWjwCyLsZmntZZJNfQSHOxwsIHabvbxCUzAqq.pkg	KO5ifR1dg/J5YfzQAJCDYKaaWoLsd/N0cwzzDHE0MjA0AtmJz3+VP5o/z353OXhNVdi/xV8ZqkdjfHADADSeFnEA	UP0006-PCSE00059_00-FIFAVITA20120001	EA SPORTS FIFA Football Demo	1.06
PCSE00060	US	EA SPORTS FIFA Football (DEMO)	http://ares.dl.playstation.net/cdn/UP0006/PCSE00060_00/ukKiXzWRAOVQOWKwluNEhcNpVdrOBGLMHLxLJzqCGyQVLvpETiEmLfiNPmqHndtrPPeWjjVKYPBBNbSDNXQYAJXROfwYlbxLHPVst.pkg	KO5ifR1dg/J5YfzQAJCDYKaage1383RzDPMMcTQyMDQC2YnPf9kWd1sKTVTeP54erRFuqyc/GuODGwAASZES4AAA	UP0006-PCSE00060_00-FIFAVITA20120001	EA SPORTS FIFA Football Démo	1.06
PCSG90008	JP	Sumioni: Demon Arts (DEMO)	http://ares.dl.playstation.net/cdn/JP0048/PCSG90008_00/eVvNHVGZXJOisUgvvEbeUyzuatqERkYGosznUXAkBYwniFoEIQRZsUpgTINleJCiDssZlmMbPuCrOImLzsgEcHfkYnTvsvAzlpOQj.pkg	KO5ifR1dg/J5YXyvAKDVFmBbLEEOAtkfHOrr6RgQEBLkA7EUn/9WMHeYG715kin8k2/7tAdzLEdjfHADADj0FKAA	JP0048-PCSG90008_00-SUMIAPPTRL000000	墨鬼 体験版	1.51
PCSG90017	JP	Super Monkey Ball TOKUMORI ASOBITA! Demo 2 (DEMO)	http://ares.dl.playstation.net/cdn/JP0177/PCSG90017_00/BzJRCjiwQdhxXCsSUZAScQqnttRzTIvHHWFuGpuvDoqNHGHZSuHTqqyLrNMWGdgcqCHJlufdBXrHdSBnhYLgrCslZtIQaYNuwWfjJ.pkg	KO5ifR1dg/J5YXyvAANDc3OwLZZA481B9geHBrgG+fr7ebtGOjn6+Bjg85/VZ8YowV27+19L76n1nFJyYzTGBzcAAD+oFTMA	JP0177-PCSG90017_00-SUPERMONKEYBALL0	スーパーモンキーボール 特盛あそビ～タ！ (オトナの体験版)	1.61
