title_id,game_title,region,version,url,content_id,platform,distribution,content_type
NPUA80523,Tokyo Jungle - Famitsu Swag Costume,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/EyfVQSBYFhdezlDHFNKKVghtiBKWXNpULjknkrTFEvrmIRFZdvLPVPeWdFjeIFBBBhPyIVfFbaCnmZCxCiTDRDCUvFgsOctAVNuYL.pkg,UP9000-NPUA80523_00-DLC2000000000000,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Fat Cat,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/ojVqPimRhiNhvsMyyPQeELJBdrDZSInNGhLUMYgOVqEBoNtGbgMknqxkhvHOWhgTEasIsdzwrHOYwZjJtmTQvvLiMmmcmUQELjyPy.pkg,UP9000-NPUA80523_00-DLC1000000000010,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Giraffe,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/TIoMMFTmJrCCyykshMjKcYfAYsopWvchdBzSqQcYKtswURzWWCCkwPVMgnvCLTiiVjxlcvffqbpwlSXVjFXKGHKOVnClatkbLcmVA.pkg,UP9000-NPUA80523_00-DLC1000000000030,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Homo Erectus,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/mBGBxzEDCOHHzBmlegbaLePngQkgvyNTbFUTZklQYYzPGuzjqkZZWZtQvHUNAYFRAGjhHSQekLehxAQKHnmzoSmuMuMxjqVAKJsCj.pkg,UP9000-NPUA80523_00-DLC1000000000080,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Kangaroo,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/IAEvXNFhEeTZHOfxrwqDKmKwOoapfKOGTWKcDyLojkIFVRudcHKvQkkIzyYNRHNqBQrsoFXyhMNWxwOhPEnKcdVgHvhRqUIXtMCwO.pkg,UP9000-NPUA80523_00-DLC1000000000020,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Kulche Plush Costume,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/NEjhlMSfDVMPLqHypswnGNbuBbpoIAxADjircxDkQMoFekMDCINMRjtKHENMjEhLqOzGxuCXnVesKDGKthhakVQFkmFApXsZncpAg.pkg,UP9000-NPUA80523_00-DLC2000000000060,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Mannequin Plush Costume,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/AmrmQnYGFJwVWAqetWlLJcDYKUbSFOzYOXVhuvSWQmdWhZMPqcftbmTRjGQyiyZKySBqENurMLVRLbWoToQmwuFHmnxGMALhanzcc.pkg,UP9000-NPUA80523_00-DLC2000000000080,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Mawashi Costume,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/zmvKeaKJlFkFTzIGlLZTdcBQoNTzWlAShfDSaDoFNrQEYwVUwINLSipBizQHhEhPvSXFrjjEIOiMyrQlDvVxRJrJwKwukvyKpVkcL.pkg,UP9000-NPUA80523_00-DLC2000000000010,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Panda,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/FPgJUhEUGNWurptKPxlOqUgjfXAPGqlpVdZpHEbDwjxQlMCobmvCLzbHEkyRblOYAdVjRAuXBKgNMuZwbWAKAsbCUfNmbSNbKbmfn.pkg,UP9000-NPUA80523_00-DLC1000000000040,PSP,PSN,DLC
NPUA80523,Tokyo Jungle - Patapon Plush Costume,US,,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80523_00/tEFWoqMIufkpixFWsscNPfihfzYtKOzqCNbdFnGphYnLfJMtBYKZmUzPEJSPfvqcqhMsXXOGxGfjWhPLWRecMzUNrUZenTCAbgfUg.pkg,UP9000-NPUA80523_00-DLC2000000000070,PSP,PSN,DLC
