game_name,id,type,region,languages,title,year,month,day,rom_name
"Vampire Rain: Altered Species (Europe) (EN,FR,DE)",BLES00239,PS3,PAL,"EN,FR,DE",Vampire Rain: Altered Species,2008,9,26,"Vampire Rain: Altered Species (Europe) (EN,FR,DE).iso"
Guitar Hero: Aerosmith (Europe) (EN),BLES00241,PS3,PAL,EN,Guitar Hero: Aerosmith,2008,6,27,Guitar Hero: Aerosmith (Europe) (EN).iso
"Viking: Battle for Asgard (Europe) (EN,FR,DE,ES,IT)",BLES00242,PS3,PAL,"EN,FR,DE,ES,IT",Viking: Battle for Asgard,2008,3,28,"Viking: Battle for Asgard (Europe) (EN,FR,DE,ES,IT).iso"
DreamWorks Kung Fu Panda (Europe) (EN),BLES00243,PS3,PAL,EN,DreamWorks Kung Fu Panda,2008,6,27,DreamWorks Kung Fu Panda (Europe) (EN).iso
DreamWorks Kung Fu Panda (Europe) (EN),BLES00244,PS3,PAL,EN,DreamWorks Kung Fu Panda,2021,,,DreamWorks Kung Fu Panda (Europe) (EN).iso
"Metal Gear Solid 4: Guns of the Patriots (Europe) (EN,DE)",BLES00246,PS3,PAL,"EN,DE",Metal Gear Solid 4: Guns of the Patriots,2008,6,12,"Metal Gear Solid 4: Guns of the Patriots (Europe) (EN,DE).iso"
"Iron Man (Europe) (EN,FR,DE)",BLES00247,PS3,PAL,"EN,FR,DE",Iron Man,2008,5,2,"Iron Man (Europe) (EN,FR,DE).iso"
Tom Clancy's Rainbow Six: Vegas 2 (Europe) (DE),BLES00248,PS3,PAL,DE,Tom Clancy's Rainbow Six: Vegas 2,2008,3,20,Tom Clancy's Rainbow Six: Vegas 2 (Europe) (DE).iso
Robert Ludlum's The Bourne Conspiracy (Europe) (EN),BLES00249,PS3,PAL,EN,Robert Ludlum's The Bourne Conspiracy,2014,,,Robert Ludlum's The Bourne Conspiracy (Europe) (EN).iso
"Robert Ludlum's Das Bourne Komplott (Europe) (EN,DE)",BLES00250,PS3,PAL,"EN,DE",Robert Ludlum's Das Bourne Komplott,2014,,,"Robert Ludlum's Das Bourne Komplott (Europe) (EN,DE).iso"
"The Chronicles of Narnia: Prince Caspian (Europe) (EN,ES)",BLES00251,PS3,PAL,"EN,ES",The Chronicles of Narnia: Prince Caspian,2008,6,20,"The Chronicles of Narnia: Prince Caspian (Europe) (EN,ES).iso"
"The Chronicles of Narnia: Prince Caspian (Europe) (EN,DE)",BLES00252,PS3,PAL,"EN,DE",The Chronicles of Narnia: Prince Caspian,2008,,,"The Chronicles of Narnia: Prince Caspian (Europe) (EN,DE).iso"
"Battle Fantasia (Europe) (EN,FR,JA)",BLES00253,PS3,PAL,"EN,FR,JA",Battle Fantasia,2009,3,6,"Battle Fantasia (Europe) (EN,FR,JA).iso"
"LEGO Indiana Jones: The Original Adventures (Europe) (EN,DE)",BLES00254,PS3,PAL,"EN,DE",LEGO Indiana Jones: The Original Adventures,2008,6,6,"LEGO Indiana Jones: The Original Adventures (Europe) (EN,DE).iso"
Monster Madness: Grave Danger (Europe) (EN),BLES00255,PS3,PAL,EN,Monster Madness: Grave Danger,2008,9,5,Monster Madness: Grave Danger (Europe) (EN).iso
Race Driver: Grid (Europe) (EN),BLES00256,PS3,PAL,EN,Race Driver: Grid,2008,5,30,Race Driver: Grid (Europe) (EN).iso
Overlord: Raising Hell (Europe) (EN),BLES00257,PS3,PAL,EN,Overlord: Raising Hell,2008,6,20,Overlord: Raising Hell (Europe) (EN).iso
Grand Theft Auto IV (Europe) (EN),BLES00258,PS3,PAL,EN,Grand Theft Auto IV,,,,Grand Theft Auto IV (Europe) (EN).iso
"Battlefield: Bad Company (Europe) (EN,FR,DE,ES,IT)",BLES00259,PS3,PAL,"EN,FR,DE,ES,IT",Battlefield: Bad Company,2008,6,27,"Battlefield: Bad Company (Europe) (EN,FR,DE,ES,IT) (v1.00).iso"
"Battlefield: Bad Company (Europe) (EN,FR,DE,ES,IT)",BLES00261,PS3,PAL,"EN,FR,DE,ES,IT",Battlefield: Bad Company,2008,6,27,"Battlefield: Bad Company (Europe) (EN,FR,DE,ES,IT).iso"
"Star Wars: The Force Unleashed (Europe) (EN,FR,DE)",BLES00262,PS3,PAL,"EN,FR,DE",Star Wars: The Force Unleashed,2008,9,19,"Star Wars: The Force Unleashed (Europe) (EN,FR,DE).iso"
Robert Ludlum's The Bourne Conspiracy (Europe) (EN),BLES00263,PS3,PAL,EN,Robert Ludlum's The Bourne Conspiracy,,,,Robert Ludlum's The Bourne Conspiracy (Europe) (EN).iso
NASCAR 09 (Europe) (EN),BLES00268,PS3,PAL,EN,NASCAR 09,2008,6,27,NASCAR 09 (Europe) (EN).iso
Prototype (Europe) (EN),BLES00269,PS3,PAL,EN,Prototype,2009,6,12,Prototype (Europe) (EN).iso
G1 Jockey 4 2008 (Europe) (EN),BLES00271,PS3,PAL,EN,G1 Jockey 4 2008,2008,9,26,G1 Jockey 4 2008 (Europe) (EN).iso
"Top Spin 3 (Europe) (EN,FR,DE)",BLES00276,PS3,PAL,"EN,FR,DE",Top Spin 3,2008,6,20,"Top Spin 3 (Europe) (EN,FR,DE).iso"
Disney/Pixar WALL-E (Europe) (EN),BLES00277,PS3,PAL,EN,Disney/Pixar WALL-E,2021,,,Disney/Pixar WALL-E (Europe) (EN).iso
Disney/Pixar WALL-E (Europe) (EN),BLES00278,PS3,PAL,EN,Disney/Pixar WALL-E,2021,,,Disney/Pixar WALL-E (Europe) (EN).iso
Wall-E (Europe) (EN),BLES00279,PS3,PAL,EN,Wall-E,,,,Wall-E (Europe) (EN).iso
Disney/Pixar WALL-E (Europe) (EN),BLES00280,PS3,PAL,EN,Disney/Pixar WALL-E,2008,7,4,Disney/Pixar WALL-E (Europe) (EN).iso
Disney/Pixar WALL-E (Europe) (EN),BLES00281,PS3,PAL,EN,Disney/Pixar WALL-E,2021,,,Disney/Pixar WALL-E (Europe) (EN).iso
Dragon Ball Z: Burst Limit (Europe) (EN),BLES00282,PS3,PAL,EN,Dragon Ball Z: Burst Limit,2021,,,Dragon Ball Z: Burst Limit (Europe) (EN).iso
"Disney/Pixar WALL-E (Europe) (EN,ES)",BLES00283,PS3,PAL,"EN,ES",Disney/Pixar WALL-E,2008,7,4,"Disney/Pixar WALL-E (Europe) (EN,ES).iso"
Madden NFL 09 (Europe) (EN),BLES00285,PS3,PAL,EN,Madden NFL 09,2021,,,Madden NFL 09 (Europe) (EN).iso
"Beijing 2008 (Europe) (EN,DE)",BLES00286,PS3,PAL,"EN,DE",Beijing 2008,2008,,,"Beijing 2008 (Europe) (EN,DE).iso"
"The Incredible Hulk (Europe) (EN,FR,DE)",BLES00289,PS3,PAL,"EN,FR,DE",The Incredible Hulk,2008,6,20,"The Incredible Hulk (Europe) (EN,FR,DE).iso"
WSC Real 09: World Snooker Championship (Europe) (EN),BLES00290,PS3,PAL,EN,WSC Real 09: World Snooker Championship,2009,4,3,WSC Real 09: World Snooker Championship (Europe) (EN).iso
"FaceBreaker (Europe) (EN,FR,DE,IT)",BLES00291,PS3,PAL,"EN,FR,DE,IT",FaceBreaker,2008,,,"FaceBreaker (Europe) (EN,FR,DE,IT).iso"
Tiger Woods PGA Tour 09 (Europe) (EN),BLES00295,PS3,PAL,EN,Tiger Woods PGA Tour 09,2008,8,29,Tiger Woods PGA Tour 09 (Europe) (EN).iso
"Soulcalibur IV (Europe) (EN,FR,DE)",BLES00296,PS3,PAL,"EN,FR,DE",Soulcalibur IV,2008,7,29,"Soulcalibur IV (Europe) (EN,FR,DE).iso"
Dark Sector (Europe) (EN),BLES00297,PS3,PAL,EN,Dark Sector,2021,,,Dark Sector (Europe) (EN).iso
NHL 09 (Europe) (EN),BLES00298,PS3,PAL,EN,NHL 09,2008,,,NHL 09 (Europe) (EN).iso
"Guitar Hero: World Tour (Europe) (EN,FR,DE,ES,IT)",BLES00299,PS3,PAL,"EN,FR,DE,ES,IT",Guitar Hero: World Tour,2008,11,20,"Guitar Hero: World Tour (Europe) (EN,FR,DE,ES,IT).iso"
TNA Impact! Total Nonstop Action Wrestling (Europe) (EN),BLES00300,PS3,PAL,EN,TNA Impact! Total Nonstop Action Wrestling,2008,,,TNA Impact! Total Nonstop Action Wrestling (Europe) (EN).iso
NBA Live 09 (Europe) (EN),BLES00302,PS3,PAL,EN,NBA Live 09,2008,1,1,NBA Live 09 (Europe) (EN).iso
"Silent Hill: Homecoming (Europe) (EN,ES)",BLES00307,PS3,PAL,"EN,ES",Silent Hill: Homecoming,2009,2,27,"Silent Hill: Homecoming (Europe) (EN,ES).iso"
Dead Space (Europe) (EN),BLES00308,PS3,PAL,EN,Dead Space,2008,10,23,Dead Space (Europe) (EN).iso
"Dead Space (Europe) (FR,DE)",BLES00309,PS3,PAL,"FR,DE",Dead Space,2008,10,23,"Dead Space (Europe) (FR,DE) (v1.00).iso"
"Dead Space (Europe) (ES,IT)",BLES00310,PS3,PAL,"ES,IT",Dead Space,2008,10,23,"Dead Space (Europe) (ES,IT).iso"
"The Chronicles of Riddick: Assault on Dark Athena (Europe) (EN,FR)",BLES00311,PS3,PAL,"EN,FR",The Chronicles of Riddick: Assault on Dark Athena,2014,,,"The Chronicles of Riddick: Assault on Dark Athena (Europe) (EN,FR).iso"
FIFA 09 (Europe) (EN),BLES00314,PS3,PAL,EN,FIFA 09,2008,10,3,FIFA 09 (Europe) (EN).iso
"FIFA 09 (Europe) (EN,FR,DE,IT)",BLES00315,PS3,PAL,"EN,FR,DE,IT",FIFA 09,2008,10,3,"FIFA 09 (Europe) (EN,FR,DE,IT).iso"
"BioShock: Ultimate Rapture Edition (Europe) (EN,FR,DE,ES,IT)",BLES00316,PS3,PAL,"EN,FR,DE,ES,IT",BioShock: Ultimate Rapture Edition,2013,1,1,"BioShock: Ultimate Rapture Edition (Europe) (EN,FR,DE,ES,IT).iso"
BioShock (Europe) (EN),BLES00317,PS3,PAL,EN,BioShock,2008,,,BioShock (Europe) (EN).iso
"Brothers in Arms: Hell's Highway (Europe) (EN,FR)",BLES00318,PS3,PAL,"EN,FR",Brothers in Arms: Hell's Highway,2008,9,25,"Brothers in Arms: Hell's Highway (Europe) (EN,FR).iso"
Brothers in Arms: Hell's Highway (Europe) (EN),BLES00319,PS3,PAL,EN,Brothers in Arms: Hell's Highway,2008,,,Brothers in Arms: Hell's Highway (Europe) (EN).iso
"Mirror's Edge (Europe) (EN,FR,DE)",BLES00322,PS3,PAL,"EN,FR,DE",Mirror's Edge,2008,11,14,"Mirror's Edge (Europe) (EN,FR,DE) (v1.00).iso"
"Mercenaries 2: World in Flames (Europe) (EN,FR,DE,ES,IT)",BLES00323,PS3,PAL,"EN,FR,DE,ES,IT",Mercenaries 2: World in Flames,2008,9,5,"Mercenaries 2: World in Flames (Europe) (EN,FR,DE,ES,IT).iso"
Far Cry 2 (Europe) (EN),BLES00324,PS3,PAL,EN,Far Cry 2,2008,10,24,Far Cry 2 (Europe) (EN).iso
Far Cry 2 (Europe) (EN),BLES00325,PS3,PAL,EN,Far Cry 2,,,,Far Cry 2 (Europe) (EN).iso
"Tom Clancy's EndWar (Europe) (EN,DE,ES)",BLES00326,PS3,PAL,"EN,DE,ES",Tom Clancy's EndWar,2008,11,7,"Tom Clancy's EndWar (Europe) (EN,DE,ES) (v1.02).iso"
Pure (Europe) (EN),BLES00327,PS3,PAL,EN,Pure,2008,1,1,Pure (Europe) (EN).iso
Mercenaries 2: World in Flames (Europe) (DE),BLES00328,PS3,PAL,DE,Mercenaries 2: World in Flames,2008,9,5,Mercenaries 2: World in Flames (Europe) (DE).iso
Fracture (Europe) (EN),BLES00329,PS3,PAL,EN,Fracture,2008,10,10,Fracture (Europe) (EN).iso
Tom Clancy's H.A.W.X (Europe) (EN),BLES00330,PS3,PAL,EN,Tom Clancy's H.A.W.X,,,,Tom Clancy's H.A.W.X (Europe) (EN).iso
LEGO Batman: The Videogame (Europe) (EN),BLES00332,PS3,PAL,EN,LEGO Batman: The Videogame,2008,10,10,LEGO Batman: The Videogame (Europe) (EN).iso
Fallout 3 (Europe) (EN),BLES00333,PS3,PAL,EN,Fallout 3,2008,,,Fallout 3 (Europe) (EN).iso
Fallout 3 (Europe) (EN),BLES00335,PS3,PAL,EN,Fallout 3,2021,,,Fallout 3 (Europe) (EN).iso
Fallout 3 (Europe) (EN),BLES00336,PS3,PAL,EN,Fallout 3,2008,10,30,Fallout 3 (Europe) (EN).iso
Fallout 3 (Europe) (EN),BLES00337,PS3,PAL,EN,Fallout 3,2021,,,Fallout 3 (Europe) (EN).iso
PES 2009: Pro Evolution Soccer (Europe) (EN),BLES00338,PS3,PAL,EN,PES 2009: Pro Evolution Soccer,2008,10,17,PES 2009: Pro Evolution Soccer (Europe) (EN).iso
NHL 2K9 (Europe) (EN),BLES00353,PS3,PAL,EN,NHL 2K9,2008,9,12,NHL 2K9 (Europe) (EN).iso
Call of Duty: World at War (Europe) (EN),BLES00354,PS3,PAL,EN,Call of Duty: World at War,2008,11,14,Call of Duty: World at War (Europe) (EN).iso
Call of Duty: World at War (Europe) (EN),BLES00355,PS3,PAL,EN,Call of Duty: World at War,,,,Call of Duty: World at War (Europe) (EN).iso
Call of Duty: World at War (Europe) (EN),BLES00357,PS3,PAL,EN,Call of Duty: World at War,2021,,,Call of Duty: World at War (Europe) (EN).iso
Baja: Edge of Control (Europe) (EN),BLES00359,PS3,PAL,EN,Baja: Edge of Control,2008,1,1,Baja: Edge of Control (Europe) (EN).iso
WWE SmackDown vs. Raw 2009 (Europe) (EN),BLES00360,PS3,PAL,EN,WWE SmackDown vs. Raw 2009,2021,,,WWE SmackDown vs. Raw 2009 (Europe) (EN).iso
"WWE SmackDown vs. Raw 2009 (Europe) (EN,FR,DE)",BLES00361,PS3,PAL,"EN,FR,DE",WWE SmackDown vs. Raw 2009,2008,11,7,"WWE SmackDown vs. Raw 2009 (Europe) (EN,FR,DE).iso"
"Midnight Club: Los Angeles (Europe) (EN,DE,ES)",BLES00362,PS3,PAL,"EN,DE,ES",Midnight Club: Los Angeles,2008,1,1,"Midnight Club: Los Angeles (Europe) (EN,DE,ES).iso"
SBK 08: Superbike World Championship (Europe) (EN),BLES00368,PS3,PAL,EN,SBK 08: Superbike World Championship,2008,9,26,SBK 08: Superbike World Championship (Europe) (EN).iso
Armored Core: For Answer (Europe) (EN),BLES00370,PS3,PAL,EN,Armored Core: For Answer,2008,11,28,Armored Core: For Answer (Europe) (EN).iso
Naruto: Ultimate Ninja Storm (Europe) (EN),BLES00371,PS3,PAL,EN,Naruto: Ultimate Ninja Storm,2008,11,7,Naruto: Ultimate Ninja Storm (Europe) (EN).iso
Valkyria Chronicles (Europe) (EN),BLES00372,PS3,PAL,EN,Valkyria Chronicles,2008,10,31,Valkyria Chronicles (Europe) (EN).iso
Saints Row 2 (Europe) (EN),BLES00373,PS3,PAL,EN,Saints Row 2,2008,10,17,Saints Row 2 (Europe) (EN).iso
Saints Row 2 (Europe) (EN),BLES00374,PS3,PAL,EN,Saints Row 2,2021,,,Saints Row 2 (Europe) (EN).iso
Saints Row 2 (Europe) (EN),BLES00377,PS3,PAL,EN,Saints Row 2,2021,,,Saints Row 2 (Europe) (EN).iso
"Disney Sing It (Europe) (EN,FR,DE,ES,IT,NL)",BLES00378,PS3,PAL,"EN,FR,DE,ES,IT,NL",Disney Sing It,2008,11,7,"Disney Sing It (Europe) (EN,FR,DE,ES,IT,NL).iso"
"Disney Sing It (Europe) (EN,DK,NO)",BLES00380,PS3,PAL,"EN,DK,NO",Disney Sing It,2018,,,"Disney Sing It (Europe) (EN,DK,NO) (v01.00).iso"
The Legend of Spyro: Dawn of the Dragon (Europe) (EN),BLES00382,PS3,PAL,EN,The Legend of Spyro: Dawn of the Dragon,2021,,,The Legend of Spyro: Dawn of the Dragon (Europe) (EN).iso
The Legend of Spyro: Dawn of the Dragon (Europe) (EN),BLES00383,PS3,PAL,EN,The Legend of Spyro: Dawn of the Dragon,,,,The Legend of Spyro: Dawn of the Dragon (Europe) (EN).iso
NBA 2K9 (Europe) (EN),BLES00384,PS3,PAL,EN,NBA 2K9,2008,10,10,NBA 2K9 (Europe) (EN).iso
Rock Band 2 (Europe) (EN),BLES00385,PS3,PAL,EN,Rock Band 2,2009,3,27,Rock Band 2 (Europe) (EN).iso
"Monopoly (Europe) (EN,DE,ES)",BLES00387,PS3,PAL,"EN,DE,ES",Monopoly,2008,1,1,"Monopoly (Europe) (EN,DE,ES).iso"
"Prince of Persia (Europe) (EN,FR,DE)",BLES00389,PS3,PAL,"EN,FR,DE",Prince of Persia,2006,1,1,"Prince of Persia (Europe) (EN,FR,DE) (v1.01).iso"
Prince of Persia (Europe) (EN),BLES00390,PS3,PAL,EN,Prince of Persia,,,,Prince of Persia (Europe) (EN).iso
Golden Axe: Beast Rider (Europe) (EN),BLES00391,PS3,PAL,EN,Golden Axe: Beast Rider,2008,10,17,Golden Axe: Beast Rider (Europe) (EN).iso
"Spider-Man: Web of Shadows (Europe) (EN,FR,ES,IT)",BLES00392,PS3,PAL,"EN,FR,ES,IT",Spider-Man: Web of Shadows,2008,10,24,"Spider-Man: Web of Shadows (Europe) (EN,FR,ES,IT).iso"
"DreamWorks Madagascar: Escape 2 Africa (Europe) (EN,ES)",BLES00394,PS3,PAL,"EN,ES",DreamWorks Madagascar: Escape 2 Africa,2008,11,28,"DreamWorks Madagascar: Escape 2 Africa (Europe) (EN,ES).iso"
DreamWorks Madagascar: Escape 2 Africa (Europe) (EN),BLES00395,PS3,PAL,EN,DreamWorks Madagascar: Escape 2 Africa,2021,,,DreamWorks Madagascar: Escape 2 Africa (Europe) (EN).iso
MotoGP 08 (Europe) (EN),BLES00396,PS3,PAL,EN,MotoGP 08,2008,10,24,MotoGP 08 (Europe) (EN).iso
Blitz: The League II (Europe) (EN),BLES00397,PS3,PAL,EN,Blitz: The League II,2008,10,24,Blitz: The League II (Europe) (EN).iso
"Fallout 3 (Europe) (EN,DE)",BLES00399,PS3,PAL,"EN,DE",Fallout 3,2019,,,"Fallout 3 (Europe) (EN,DE).iso"
Fallout 3 (Europe) (EN),BLES00400,PS3,PAL,EN,Fallout 3,2021,,,Fallout 3 (Europe) (EN).iso
Rapala Fishing Frenzy 2009 (Europe) (EN),BLES00401,PS3,PAL,EN,Rapala Fishing Frenzy 2009,2008,11,21,Rapala Fishing Frenzy 2009 (Europe) (EN).iso
Cabela's Dangerous Adventures (Europe) (EN),BLES00402,PS3,PAL,EN,Cabela's Dangerous Adventures,2009,3,12,Cabela's Dangerous Adventures (Europe) (EN).iso
"Shaun White Snowboarding (Europe) (EN,DE)",BLES00403,PS3,PAL,"EN,DE",Shaun White Snowboarding,2019,,,"Shaun White Snowboarding (Europe) (EN,DE).iso"
Call of Duty: World at War (Europe) (EN),BLES00404,PS3,PAL,EN,Call of Duty: World at War,2021,,,Call of Duty: World at War (Europe) (EN).iso
"Legendary (Europe) (EN,DE)",BLES00405,PS3,PAL,"EN,DE",Legendary,2008,1,1,"Legendary (Europe) (EN,DE).iso"
"007: Quantum of Solace (Europe) (EN,FR,DE)",BLES00406,PS3,PAL,"EN,FR,DE",007: Quantum of Solace,2008,10,31,"007: Quantum of Solace (Europe) (EN,FR,DE).iso"
ShellShock 2: Blood Trails (Europe) (EN),BLES00408,PS3,PAL,EN,ShellShock 2: Blood Trails,2021,,,ShellShock 2: Blood Trails (Europe) (EN).iso
"Tomb Raider: Underworld (Europe) (EN,FR,DE)",BLES00409,PS3,PAL,"EN,FR,DE",Tomb Raider: Underworld,2008,11,21,"Tomb Raider: Underworld (Europe) (EN,FR,DE).iso"
"Sacred 2: Fallen Angel (Europe) (EN,DE)",BLES00410,PS3,PAL,"EN,DE",Sacred 2: Fallen Angel,2009,1,1,"Sacred 2: Fallen Angel (Europe) (EN,DE) (v1.03).iso"
"007: Quantum of Solace (Europe) (EN,FR,DE)",BLES00411,PS3,PAL,"EN,FR,DE",007: Quantum of Solace,2008,10,31,"007: Quantum of Solace (Europe) (EN,FR,DE).iso"
"The Lord of the Rings: Conquest (Europe) (EN,DE)",BLES00412,PS3,PAL,"EN,DE",The Lord of the Rings: Conquest,,,,"The Lord of the Rings: Conquest (Europe) (EN,DE) (v1.01).iso"
"Disney Bolt (Europe) (EN,ES,IT)",BLES00414,PS3,PAL,"EN,ES,IT",Disney Bolt,2009,2,13,"Disney Bolt (Europe) (EN,ES,IT).iso"
Disney Bolt (Europe) (EN),BLES00415,PS3,PAL,EN,Disney Bolt,2021,,,Disney Bolt (Europe) (EN).iso
Disney Bolt (Europe) (EN),BLES00416,PS3,PAL,EN,Disney Bolt,2009,,,Disney Bolt (Europe) (EN).iso
Disney Bolt (Europe) (EN),BLES00417,PS3,PAL,EN,Disney Bolt,,,,Disney Bolt (Europe) (EN).iso
Rise of the Argonauts (Europe) (EN),BLES00418,PS3,PAL,EN,Rise of the Argonauts,2008,,,Rise of the Argonauts (Europe) (EN).iso
"Brain Challenge (Europe) (EN,FR,DE,ES,IT,PT)",BLES00420,PS3,PAL,"EN,FR,DE,ES,IT,PT",Brain Challenge,2008,12,5,"Brain Challenge (Europe) (EN,FR,DE,ES,IT,PT).iso"
Score International Baja 1000: World Championship Off Road Racing (Europe) (EN),BLES00421,PS3,PAL,EN,Score International Baja 1000: World Championship Off Road Racing,2008,11,21,Score International Baja 1000: World Championship Off Road Racing (Europe) (EN).iso
"Alone in the Dark: Inferno (Europe) (EN,FR,DE,ES,IT)",BLES00422,PS3,PAL,"EN,FR,DE,ES,IT",Alone in the Dark: Inferno,2008,11,14,"Alone in the Dark: Inferno (Europe) (EN,FR,DE,ES,IT).iso"
"Harry Potter and the Half-Blood Prince (Europe) (EN,DE)",BLES00424,PS3,PAL,"EN,DE",Harry Potter and the Half-Blood Prince,2012,1,1,"Harry Potter and the Half-Blood Prince (Europe) (EN,DE).iso"
"Sonic Unleashed (Europe) (EN,FR,DE,ES,IT)",BLES00425,PS3,PAL,"EN,FR,DE,ES,IT",Sonic Unleashed,2008,12,19,"Sonic Unleashed (Europe) (EN,FR,DE,ES,IT).iso"
"Mortal Kombat vs. DC Universe (Europe) (EN,FR,DE)",BLES00441,PS3,PAL,"EN,FR,DE",Mortal Kombat vs. DC Universe,2006,1,1,"Mortal Kombat vs. DC Universe (Europe) (EN,FR,DE).iso"
Disney Sing It: High School Musical 3: Senior Year (Europe) (EN),BLES00442,PS3,PAL,EN,Disney Sing It: High School Musical 3: Senior Year,2008,11,28,Disney Sing It: High School Musical 3: Senior Year (Europe) (EN).iso
Disney Sing It: High School Musical 3: Senior Year (Europe) (EN),BLES00443,PS3,PAL,EN,Disney Sing It: High School Musical 3: Senior Year,2021,,,Disney Sing It: High School Musical 3: Senior Year (Europe) (EN).iso
"Eternal Sonata (Europe) (EN,FR,DE,ES,IT)",BLES00444,PS3,PAL,"EN,FR,DE,ES,IT",Eternal Sonata,2009,2,13,"Eternal Sonata (Europe) (EN,FR,DE,ES,IT).iso"
Shaun White Snowboarding (Europe) (EN),BLES00445,PS3,PAL,EN,Shaun White Snowboarding,2021,,,Shaun White Snowboarding (Europe) (EN).iso
X-Blades (Europe) (EN),BLES00447,PS3,PAL,EN,X-Blades,2009,2,20,X-Blades (Europe) (EN).iso
Need for Speed: Undercover (Europe) (EN),BLES00449,PS3,PAL,EN,Need for Speed: Undercover,2021,,,Need for Speed: Undercover (Europe) (EN).iso
"Need for Speed: Undercover (Europe) (EN,FR,DE)",BLES00450,PS3,PAL,"EN,FR,DE",Need for Speed: Undercover,2008,11,21,"Need for Speed: Undercover (Europe) (EN,FR,DE) (v1.00).iso"
Rock Band: Song Pack 2 (Europe) (EN),BLES00451,PS3,PAL,EN,Rock Band: Song Pack 2,2009,4,17,Rock Band: Song Pack 2 (Europe) (EN).iso
"Disgaea 3: Absence of Justice (Europe) (EN,FR)",BLES00452,PS3,PAL,"EN,FR",Disgaea 3: Absence of Justice,2009,2,19,"Disgaea 3: Absence of Justice (Europe) (EN,FR).iso"
AC/DC Live: Rock Band (Europe) (EN),BLES00453,PS3,PAL,EN,AC/DC Live: Rock Band,2008,12,19,AC/DC Live: Rock Band (Europe) (EN).iso
"Burnout Paradise: The Ultimate Box (Europe) (EN,FR,DE,IT)",BLES00455,PS3,PAL,"EN,FR,DE,IT",Burnout Paradise: The Ultimate Box,2009,2,6,"Burnout Paradise: The Ultimate Box (Europe) (EN,FR,DE,IT) (v1.00).iso"
Call of Duty: World at War (Europe) (EN),BLES00457,PS3,PAL,EN,Call of Duty: World at War,2021,,,Call of Duty: World at War (Europe) (EN).iso
Silent Hill: Homecoming (Europe) (EN),BLES00460,PS3,PAL,EN,Silent Hill: Homecoming,2009,2,27,Silent Hill: Homecoming (Europe) (EN).iso
"Skate 2 (Europe) (EN,FR)",BLES00461,PS3,PAL,"EN,FR",Skate 2,2009,1,23,"Skate 2 (Europe) (EN,FR).iso"
Burnout Paradise: The Ultimate Box (Europe) (RU),BLES00462,PS3,PAL,RU,Burnout Paradise: The Ultimate Box,2008,2,6,Burnout Paradise: The Ultimate Box (Europe) (RU).iso
"F.E.A.R. 2: Project Origin (Europe) (EN,DE)",BLES00464,PS3,PAL,"EN,DE",F.E.A.R. 2: Project Origin,2009,2,13,"F.E.A.R. 2: Project Origin (Europe) (EN,DE).iso"
"Bionic Commando (Europe) (EN,DE,IT)",BLES00465,PS3,PAL,"EN,DE,IT",Bionic Commando,2009,5,22,"Bionic Commando (Europe) (EN,DE,IT).iso"
The Millennium European Paintball Series: Championship Paintball 2009 (Europe) (EN),BLES00466,PS3,PAL,EN,The Millennium European Paintball Series: Championship Paintball 2009,2021,,,The Millennium European Paintball Series: Championship Paintball 2009 (Europe) (EN).iso
"Destroy All Humans! Path of the Furon (Europe) (EN,ES)",BLES00467,PS3,PAL,"EN,ES",Destroy All Humans! Path of the Furon,2009,2,13,"Destroy All Humans! Path of the Furon (Europe) (EN,ES).iso"
F.E.A.R. 2: Project Origin (Europe) (EN),BLES00471,PS3,PAL,EN,F.E.A.R. 2: Project Origin,2009,,,F.E.A.R. 2: Project Origin (Europe) (EN).iso
50 Cent: Blood on the Sand (Europe) (EN),BLES00472,PS3,PAL,EN,50 Cent: Blood on the Sand,2009,2,24,50 Cent: Blood on the Sand (Europe) (EN).iso
X-Blades (Europe) (EN),BLES00473,PS3,PAL,EN,X-Blades,2021,,,X-Blades (Europe) (EN).iso
Rock Revolution (Europe) (EN),BLES00474,PS3,PAL,EN,Rock Revolution,2009,,,Rock Revolution (Europe) (EN).iso
Sega Mega Drive Ultimate Collection (Europe) (EN),BLES00475,PS3,PAL,EN,Sega Mega Drive Ultimate Collection,2009,2,20,Sega Mega Drive Ultimate Collection (Europe) (EN).iso
"The Godfather II (Europe) (EN,ES)",BLES00477,PS3,PAL,"EN,ES",The Godfather II,2009,4,9,"The Godfather II (Europe) (EN,ES).iso"
The Godfather II (Europe) (EN),BLES00478,PS3,PAL,EN,The Godfather II,2014,,,The Godfather II (Europe) (EN).iso
Guitar Hero: Metallica (Europe) (EN),BLES00479,PS3,PAL,EN,Guitar Hero: Metallica,2009,5,29,Guitar Hero: Metallica (Europe) (EN).iso
"Wheelman (Europe) (EN,DE)",BLES00480,PS3,PAL,"EN,DE",Wheelman,2009,,,"Wheelman (Europe) (EN,DE).iso"
Street Fighter IV (Europe) (EN),BLES00481,PS3,PAL,EN,Street Fighter IV,,,,Street Fighter IV (Europe) (EN).iso
"Resident Evil 5 (Europe) (EN,DE)",BLES00485,PS3,PAL,"EN,DE",Resident Evil 5,,,,"Resident Evil 5 (Europe) (EN,DE).iso"
Tom Clancy's EndWar (Europe) (EN),BLES00487,PS3,PAL,EN,Tom Clancy's EndWar,2021,,,Tom Clancy's EndWar (Europe) (EN).iso
