game_name,id,type,region,languages,title,year,month,day,rom_name
Gran Turismo 5: Prologue (Taiwan) (ZHTW),BCAS20027,PS3,NTSC-A,ZHTW,Gran Turismo 5: Prologue,2008,2,15,Gran Turismo 5: Prologue (Taiwan) (ZHTW).iso
Beowolf: The Game (Taiwan) (EN),BCAS20028,PS3,NTSC-A,EN,Beowolf: The Game,2007,11,1,Beowolf: The Game (Taiwan) (EN).iso
Brothers in Arms: Hell's Highway (Taiwan) (EN),BCAS20029,PS3,NTSC-A,EN,Brothers in Arms: Hell's Highway,2008,1,1,Brothers in Arms: Hell's Highway (Taiwan) (EN).iso
Haze (Taiwan) (EN),BCAS20030,PS3,NTSC-A,EN,Haze,2008,5,22,Haze (Taiwan) (EN).iso
Makai Senki Disgaea 3 (Taiwan) (JA),BCAS20031,PS3,NTSC-A,JA,Makai Senki Disgaea 3,2008,1,31,Makai Senki Disgaea 3 (Taiwan) (JA).iso
Trusty Bell: Chopin no Yume Reprise (Taiwan) (JA),BCAS20032,PS3,NTSC-A,JA,Trusty Bell: Chopin no Yume Reprise,2008,9,18,Trusty Bell: Chopin no Yume Reprise (Taiwan) (JA).iso
Lost: Via Domus (Taiwan) (EN),BCAS20033,PS3,NTSC-A,EN,Lost: Via Domus,2008,3,1,Lost: Via Domus (Taiwan) (EN).iso
Armored Core: For Answer (Taiwan) (JA),BCAS20034,PS3,NTSC-A,JA,Armored Core: For Answer,2008,3,19,Armored Core: For Answer (Taiwan) (JA).iso
Motorstorm Complete (Taiwan) (EN),BCAS20035,PS3,NTSC-A,EN,Motorstorm Complete,2008,5,22,Motorstorm Complete (Taiwan) (EN).iso
Dark Sector (Taiwan) (EN),BCAS20036,PS3,NTSC-A,EN,Dark Sector,2008,3,25,Dark Sector (Taiwan) (EN).iso
Resistance: Fall of Man (PlayStation 3 the Best) (Taiwan) (EN),BCAS20037,PS3,NTSC-A,EN,Resistance: Fall of Man (PlayStation 3 the Best),2008,3,17,Resistance: Fall of Man (PlayStation 3 the Best) (Taiwan) (EN).iso
"FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best) (Taiwan) (EN,ZHTW)",BCAS20038,PS3,NTSC-A,"EN,ZHTW",FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best),2008,3,19,"FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best) (Taiwan) (EN,ZHTW).iso"
"Ridge Racer 7 (PlayStation 3 the Best) (Taiwan) (EN,JA)",BCAS20039,PS3,NTSC-A,"EN,JA",Ridge Racer 7 (PlayStation 3 the Best),2008,3,19,"Ridge Racer 7 (PlayStation 3 the Best) (Taiwan) (EN,JA).iso"
Ninja Gaiden Sigma (PlayStation 3 the Best) (Taiwan) (JA),BCAS20040,PS3,NTSC-A,JA,Ninja Gaiden Sigma (PlayStation 3 the Best),2008,7,3,Ninja Gaiden Sigma (PlayStation 3 the Best) (Taiwan) (JA).iso
