game_name,id,category,description,game_id,rom_name,size,crc,md5,sha1,sha256
Kono Aozora ni Yakusoku o (Japan) (PSN),0019,,Kono Aozora ni Yakusoku o (Japan) (PSN),PCSG00761,Kono Aozora ni Yakusoku o (Japan) (PSN).vpk,1384733741,7ce63df9,0c3dcaec578953ed1e57a3ef1e9a7370,0ba906bd479ae1dce77e5b439a591c031319c90c,
Kono Aozora ni Yakusoku o (Japan) (Update) (DLC),0034,,Kono Aozora ni Yakusoku o (Japan) (Update) (DLC),PCSG00761,Kono Aozora ni Yakusoku o (Japan) (Update) (DLC).vpk,5511740,c708c8cf,5ce4770840c9655c9210d8fe55738cf0,0e927eddc76f80400df22ad71b22fa6b30981e9b,
"LEGO Movie Videogame, The (USA) (PSN) [b]",0004,,"LEGO Movie Videogame, The (USA) (PSN) [b]",PCSE00353,"LEGO Movie Videogame, The (USA) (PSN) [b].vpk",1553278797,59762945,d1eb8690de0c50787f5eb28048e48ef3,fcd23a4c87309d5c94975502309dc853d3620d5d,
Luftrausers (USA) (PSN),0001,,Luftrausers (USA) (PSN),PCSE00247,Luftrausers (USA) (PSN).vpk,61274962,79a570fb,f110a0a09a69a3f90eab849f748a25da,43d3794eee72922622895182be1cb223dd759a8d,
"Majin Shoujo - Chronicle 2D ACT (Japan) (En,Ja,Zh) (PSN)",0014,,"Majin Shoujo - Chronicle 2D ACT (Japan) (En,Ja,Zh) (PSN)",PCSG00652,"Majin Shoujo - Chronicle 2D ACT (Japan) (En,Ja,Zh) (PSN).vpk",163777337,f591689e,3de228dea1fb0368fca98eb84d52338e,68824cd27f2457d1b74c033560eddaf2f706f4e3,
Metal Slug 3 (USA) (PSN),0009,,Metal Slug 3 (USA) (PSN),PCSE00665,Metal Slug 3 (USA) (PSN).vpk,112388226,74bcfabd,95080388993c8433f0eb24a46c318901,960571912f3546b690b99dfe0355719bcae0b051,
"MotoGP 13 (Europe) (En,Fr,De,Es,It) (Update 1.02) (DLC)",0027,,"MotoGP 13 (Europe) (En,Fr,De,Es,It) (Update 1.02) (DLC)",PCSB00316,"MotoGP 13 (Europe) (En,Fr,De,Es,It) (Update 1.02) (DLC).vpk",27970216,44abb644,43ab4bc933ff17a1545de868a5f6e9cb,91abb4ca8422d129388161d44293b0a1d5ba77ba,
Mutant Mudds Deluxe (USA) (PSN),0005,,Mutant Mudds Deluxe (USA) (PSN),PCSE00380,Mutant Mudds Deluxe (USA) (PSN).vpk,35392525,b48f06ce,76bdb30c8e353496ff449afd1dd922b7,c1105676eadea83a5e15875bcce09585ac5b25f3,
My Singing Monsters (USA) (PSN),0039,,My Singing Monsters (USA) (PSN),PCSE00459,My Singing Monsters (USA) (PSN).vpk,175303335,d18d3efb,6d5d27fe8b09cf617b99e685b43f627d,04015dab5a362f83b6f63518b8404a1f9168cecf,
NOVA-111 (USA) (PSN),0011,,NOVA-111 (USA) (PSN),PCSE00686,NOVA-111 (USA) (PSN).vpk,259389962,7ee0b171,796cb6e9b8781cfbb7e865c4aed51d1d,ed1d2bc5e11cf6cc701e5601db0b551758dd6750,
Nun Attack (Europe) (PSN),0042,,Nun Attack (Europe) (PSN),PCSB00264,Nun Attack (Europe) (PSN).vpk,113878361,1f025610,da366ec8541269638222fb21924ec018,b277d6034547dfe5d945fcb890a02968794eb005,
Omega Labyrinth (Japan) (PSN),0023,,Omega Labyrinth (Japan) (PSN),PCSG00550,Omega Labyrinth (Japan) (PSN).vpk,698532726,48de53f0,b08a0d4109fc89c457f379ea32bd15a2,5d970ed4cd4f6992ac39373b2663141790d23b22,
Omega Labyrinth (Japan) (Update) (DLC),0035,,Omega Labyrinth (Japan) (Update) (DLC),PCSG00550,Omega Labyrinth (Japan) (Update) (DLC).vpk,329677751,189a715f,150e107b0411f40613a1902dafc5cd69,c4ddd2e96d28fca8688bcd661e267c2bfe48d705,
"PixelJunk Monsters - Ultimate HD (USA) (En,Fr,De,Es,It) (PSN)",0002,,"PixelJunk Monsters - Ultimate HD (USA) (En,Fr,De,Es,It) (PSN)",PCSE00307,"PixelJunk Monsters - Ultimate HD (USA) (En,Fr,De,Es,It) (PSN).vpk",172574648,b0a1d03d,c0a1bce5d8182783b958a25c25d2cccf,9288ecbf9f850579b0c767f4746c00dbf789aa32,
Pure Chess (Europe) (PSN),0044,,Pure Chess (Europe) (PSN),PCSB00080,Pure Chess (Europe) (PSN).vpk,373413165,c067aac0,2604f17f149499dcebb88d5485bf9bbe,a13c6da9435dab324750a0653a8d77ff26b4698b,
Race the Sun (Europe) (PSN),0013,,Race the Sun (Europe) (PSN),PCSB00643,Race the Sun (Europe) (PSN).vpk,158483100,a7a91c21,51eca28d1a0b1a450e322820bedb5deb,e5f5c1e1c59bd0d3347ca844f60332147bd71f40,
Race the Sun (Europe) (Update) (DLC),0031,,Race the Sun (Europe) (Update) (DLC),PCSB00643,Race the Sun (Europe) (Update) (DLC).vpk,154375091,4c59bd5a,e4e6459660027aa8bdc7fc89adec9ca0,bbf0c6187fd50f7b06437dfa8fab400a7750bc93,
"Resogun (Europe) (En,Fr,It,Pt) (PSN)",0008,,"Resogun (Europe) (En,Fr,It,Pt) (PSN)",PCSF00262,"Resogun (Europe) (En,Fr,It,Pt) (PSN).vpk",218978490,194b8f3b,0c34e2f60ecb335fbf212b2202502529,91c64ed096917978b66d4e533f68b8575f72d84e,
Shutshimi (Europe) (PSN),0038,,Shutshimi (Europe) (PSN),PCSB00807,Shutshimi (Europe) (PSN).vpk,243471982,9d25fbc7,7578a1e575e5b6f108becd35e6b187a5,cd4c6d067034da5997ab00d6a00397edbb06fb79,
"Sid Meier's Civilization Revolution 2+ (Japan) (En,Ja) (PSN)",0016,,"Sid Meier's Civilization Revolution 2+ (Japan) (En,Ja) (PSN)",PCSG00588,"Sid Meier's Civilization Revolution 2+ (Japan) (En,Ja) (PSN).vpk",475149519,9973420e,ae542181eb133138f8986be689291e9f,9424520feb583974e2a49e1e71397722e14a93a1,
Sky Force Anniversary (USA) (PSN),0010,,Sky Force Anniversary (USA) (PSN),PCSE00865,Sky Force Anniversary (USA) (PSN).vpk,139779390,8a8bbe71,e90b84767561edc03a51c76d03a9727d,c796640c0d61bf7438bf72c37bc0c1edaa7668fc,
Spelunky (USA) (PSN),0006,,Spelunky (USA) (PSN),PCSE00288,Spelunky (USA) (PSN).vpk,113208326,195f630b,e9a75745a112dad42050f4f33e6eac43,551cf2a506366c65e63fa7c5e32cfd480ac64c7d,
Spelunky (Europe) (PSN),0018,,Spelunky (Europe) (PSN),PCSB00359,Spelunky (Europe) (PSN).vpk,130382339,e81d4feb,98e77f35c90ff28e02184a08cee45b98,81e6fe276ee82bc6ce91fbc39ab5e7af7b0ec531,
SteamWorld Dig (USA) (PSN),0003,,SteamWorld Dig (USA) (PSN),PCSE00430,SteamWorld Dig (USA) (PSN).vpk,56955285,cc1b67dd,798a1dbbe2d8de89672433cd8743efcb,9338a2669c37a80fc86a9c49c2d8761ca19cd0a2,
Stick it to the Man! (Europe) (PSN),0047,,Stick it to the Man! (Europe) (PSN),PCSB00375,Stick it to the Man! (Europe) (PSN).vpk,1035124130,ba628e17,fd3c771565c3ad842bb09d4e631de522,e998623644e12df37baed569a0b79b1f8f3927a6,
Taiko no Tatsujin - V Version (Japan) (Song Addons) (DLC),0033,,Taiko no Tatsujin - V Version (Japan) (Song Addons) (DLC),PCSG00551,Taiko no Tatsujin - V Version (Japan) (Song Addons) (DLC).vpk,258178966,f7f2d2ca,f4c6912292d7718fe4ae8ba63f99d8c0,a2135df24f58bb6ccd0d33fccb919d778d7eb485,
Taiko no Tatsujin - V Version (Japan) (PSN),0017,,Taiko no Tatsujin - V Version (Japan) (PSN),PCSG00551,Taiko no Tatsujin - V Version (Japan) (PSN).vpk,717924656,10e811e8,b4a7ee49bd44d3cdd37a27a5aa6c3e9d,40a164728f7da39850a0ffcddff0da79ad2589ae,
Uta no Prince-Sama - Music 3 (Japan) (PSN),0022,,Uta no Prince-Sama - Music 3 (Japan) (PSN),PCSG00651,Uta no Prince-Sama - Music 3 (Japan) (PSN).vpk,1533428976,e4145c63,85ff614b4f3f4a96d889bb7b5003d181,d5fd9e6253ec2a087b12f6cfa10cc7bcd84bffa4,
Utawarerumono - Futari no Hakuoro (Japan) (PSN),0021,,Utawarerumono - Futari no Hakuoro (Japan) (PSN),PCSG00838,Utawarerumono - Futari no Hakuoro (Japan) (PSN).vpk,3419256130,c1777182,2be29bcf49267923947dc7a76efeb447,9423352e70ea0c679edcff4719be539a78069b83,
"WRC 4 - FIA World Rally Championship (Europe) (En,Fr,De,Es,It) (Update 1.01) (DLC)",0029,,"WRC 4 - FIA World Rally Championship (Europe) (En,Fr,De,Es,It) (Update 1.01) (DLC)",PCSB00345,"WRC 4 - FIA World Rally Championship (Europe) (En,Fr,De,Es,It) (Update 1.01) (DLC).vpk",21642929,2116fe8a,e608a50a4b05c501480c1047546e5c62,ec80aed5c169f9cb69b23575724cb9fd0f97bae2,
Zettai Meikyuu - Himitsu no Oya Yubi Hime (Japan) (PSN),0036,,Zettai Meikyuu - Himitsu no Oya Yubi Hime (Japan) (PSN),PCSG00611,Zettai Meikyuu - Himitsu no Oya Yubi Hime (Japan) (PSN).vpk,1864888308,28fcbf33,0872dcb16c239ddd92fbc507f69961af,ef6786963a74494189cc3042c7133f73556c3412,
