title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group,package_name,package_rap
BLUS30463,3 Doors Down Pack 1,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP8802/BLUS30463_00/TwQHpCkODBcpGqJRHYmFuVrxuSUXhfEfLWndPPlVgXiAlAfeowbehjJgvWgaZAzbzJIHeDpvrOsVjrJtMcJQlRLZQPLKLIyDGdIQV.pkg,UP8802-BLUS30463_00,YES,PS3,PSN,DLC,,,TwQHpCkODBcpGqJRHYmFuVrxuSUXhfEfLWndPPlVgXiAlAfeowbehjJgvWgaZAzbzJIHeDpvrOsVjrJtMcJQlRLZQPLKLIyDGdIQV.pkg,
NPUA80044,4th of July Ball Pack,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80044_00/8eeR5HUnX55mKrdugpsYXPESWl5P8Dw8rPa7aFPSQ0PsWsC3HCISLw7hudwpAX43XiYwJls9XL2XH8PpaBm6BnaTePlJEjuNEPiea.pkg,UP9000-NPUA80044_00,YES,PS3,PSN,DLC,,,8eeR5HUnX55mKrdugpsYXPESWl5P8Dw8rPa7aFPSQ0PsWsC3HCISLw7hudwpAX43XiYwJls9XL2XH8PpaBm6BnaTePlJEjuNEPiea.pkg,
NPUA80044,60's Surf Ball Pack,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80044_00/216eo2rKaEoBmY0p8ON0gFDa1Rweo1BMn8DoMnigrmyrixKBNUAiCvvyUvEXA9tu12g2ycQUs1bSkRiVmcTlDIToRy4GAeP1Gqv5T.pkg,UP9000-NPUA80044_00,YES,PS3,PSN,DLC,,,216eo2rKaEoBmY0p8ON0gFDa1Rweo1BMn8DoMnigrmyrixKBNUAiCvvyUvEXA9tu12g2ycQUs1bSkRiVmcTlDIToRy4GAeP1Gqv5T.pkg,
BLUS30050,7 Things,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP0006/BLUS30050_00/49MjNkRQdiUU7y2uAu0r9ji3V1cTmG0pYwBO28s3cubK1d3iPGBudBr4kWWDK8Db4anbcvadIo2nLddL0GF19jCpMu759flOJVKLd.pkg,UP0006-BLUS30050_00,YES,PS3,PSN,DLC,,,49MjNkRQdiUU7y2uAu0r9ji3V1cTmG0pYwBO28s3cubK1d3iPGBudBr4kWWDK8Db4anbcvadIo2nLddL0GF19jCpMu759flOJVKLd.pkg,
BLES01667,A dangerous secret,COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP0001/BLES01667_00/tJNkMYnzXIyDGvdOfLBZpRGoOyRunFCiffXRJuuuvZKspFkPzeOrqccLtEhHnBwJkitcAMFQgIHCZnQYmtCdmtMGsKoBSpjzQooOm.pkg,EP0001-BLES01667_00,YES,PS3,PSN,DLC,,,tJNkMYnzXIyDGvdOfLBZpRGoOyRunFCiffXRJuuuvZKspFkPzeOrqccLtEhHnBwJkitcAMFQgIHCZnQYmtCdmtMGsKoBSpjzQooOm.pkg,
BLUS30050,A Girl Like You,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP0006/BLUS30050_00/pI1OERIQSjltcjS1jp2QlF0PtjBQ5sTTOyvOB9AtmkBSC4oE1qjD4KrWcQhfijsXjd7lN9mprg1gBAjJgnr7bXkCo8W6sFXy16LI0.pkg,UP0006-BLUS30050_00,YES,PS3,PSN,DLC,,,pI1OERIQSjltcjS1jp2QlF0PtjBQ5sTTOyvOB9AtmkBSC4oE1qjD4KrWcQhfijsXjd7lN9mprg1gBAjJgnr7bXkCo8W6sFXy16LI0.pkg,
BLUS30050,A Lot Like Me,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP0006/BLUS30050_00/RDEe3pFN0ArG44glScAfS23uoQEDdtHNtesWTxaSYqHg6VbEeaMlOAaw5bUDVp6yxNhw3KE0DROjjHvG5AGr5q4aX32ceKpPiG48w.pkg,UP0006-BLUS30050_00,YES,PS3,PSN,DLC,,,RDEe3pFN0ArG44glScAfS23uoQEDdtHNtesWTxaSYqHg6VbEeaMlOAaw5bUDVp6yxNhw3KE0DROjjHvG5AGr5q4aX32ceKpPiG48w.pkg,
NPEB02365,A.O.T. - Custom Set 'Christmas',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1COSTUMESET002_bg_1_52c64aa4cbd0802ccae5d80736675aca087ba323.pkg,EP4108-NPEB02365_00-AT1COSTUMESET002,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1COSTUMESET002_bg_1_52c64aa4cbd0802ccae5d80736675aca087ba323.pkg,
NPEB02365,A.O.T. - Custom Set 'Halloween',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1COSTUMESET001_bg_1_82060153773b1e8d719d8fc5d75eea62948b782c.pkg,EP4108-NPEB02365_00-AT1COSTUMESET001,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1COSTUMESET001_bg_1_82060153773b1e8d719d8fc5d75eea62948b782c.pkg,
NPEB02365,A.O.T. - Custom Set 'Japanese New Year',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1COSTUMESET003_bg_1_1b23837fff16b71e1dfe5f3c57891a207e27ab02.pkg,EP4108-NPEB02365_00-AT1COSTUMESET003,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1COSTUMESET003_bg_1_1b23837fff16b71e1dfe5f3c57891a207e27ab02.pkg,
