contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-CUSA00016_00-000WATCHGOTY5699,CUSA00016,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA00161_00-ULCCOMPLETEBUNDL,CUSA00161,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA00745_00-RSREMASTERBUNDLE,CUSA00745,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA01262_00-NYOUTFITBUNDLE01,CUSA01262,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA01395_00-WATCHDOGSGOTY001,CUSA01395,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02315_00-ASIABUNDLESE0000,CUSA02315,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02819_00-GRWGOLD2BUNDLE00,CUSA02819,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02819_00-GRWULTIMBUNDLE00,CUSA02819,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02819_00-GRWWARBUNDLE0000,CUSA02819,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02819_00-GRWY2PASSBUNDLE0,CUSA02819,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02820_00-GRWGOLD2BUNDLE00,CUSA02820,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02820_00-GRWULTIMBUNDLE00,CUSA02820,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02821_00-GRWGOLD2BUNDLE00,CUSA02821,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA02821_00-GRWULTIMBUNDLE00,CUSA02821,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04040_00-UBSFTUNOULTIMATE,CUSA04040,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04206_00-ASIAGAMEBUNDLE00,CUSA04206,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04206_00-TFAMETBDSPBUNDLE,CUSA04206,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04294_00-ROOTACCESSBUNDLE,CUSA04294,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04294_00-ULTIMATE00000003,CUSA04294,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04294_00-ULTIMATEBUNDLE00,CUSA04294,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04294_00-WD2DELUXEPOSTLAU,CUSA04294,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04294_00-WD2SUPREMEBUNDLE,CUSA04294,PS4,PSN,BUNDLE,EP0001,EP,PS4
EP0001-CUSA04295_00-WD2DELUXEPOSTLAU,CUSA04295,PS4,PSN,BUNDLE,EP0001,EP,PS4
