title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,Call of Duty 4 - Modern Warfare (USA),,,,,,DISC,BASE_GAME
,Fallout 3 (USA),,,,,,DISC,BASE_GAME
,Need for Speed - ProStreet (USA),,,,,,DISC,BASE_GAME
,"Need for Speed - Shift (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Virtua Tennis 3 (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Battlefield - Bad Company (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Battlefield - Bad Company 2 (USA) (En,Fr) (Limited Edition)",,,,,,DISC,BASE_GAME
,Need for Speed - Carbon (USA),,,,,,DISC,BASE_GAME
,"Batman - Arkham Asylum (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Mortal Kombat vs. DC Universe (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Tomb Raider - Underworld (USA) (En,Fr,De,Es,It,Nl) (FW2.42)",,,,,,DISC,BASE_GAME
,"007 - Quantum of Solace (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Army of Two - The 40th Day (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Assassin's Creed II (USA, Asia) (En,Fr,Es,It)",,,,,,DISC,BASE_GAME
,"BioShock 2 (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Brutal Legend (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Damnation (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Dante's Inferno (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Dark Void (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Darksiders (USA, Asia) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Dead Space (USA, Korea) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Def Jam - Icon (USA),,,,,,DISC,BASE_GAME
,"DiRT 2 (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Dragon Age - Origins (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Dynasty Warriors 6 (USA),,,,,,DISC,BASE_GAME
,"Elder Scrolls IV, The - Oblivion (USA)",,,,,,DISC,BASE_GAME
,"Far Cry 2 (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Ghostbusters - The Video Game (USA) (En,Fr,De,Es,It,Nl)",,,,,,DISC,BASE_GAME
,"Godfather, The - The Don's Edition (USA)",,,,,,DISC,BASE_GAME
,"Haze (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"MotorStorm (USA) (En,Fr,Es) (FW1.32)",,,,,,DISC,BASE_GAME
,"MotorStorm - Pacific Rift (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"James Cameron's Avatar - The Game (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"LEGO Batman - The Videogame (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Saints Row 2 (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Terminator Salvation (USA) (En,Fr,De,Es,It,Nl,Pt)",,,,,,DISC,BASE_GAME
,"Wanted - Weapons of Fate (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Marvel - Ultimate Alliance (USA),,,,,,DISC,BASE_GAME
,Lair (USA),,,,,,DISC,BASE_GAME
,"White Knight Chronicles - International Edition (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Untold Legends - Dark Kingdom (USA),,,,,,DISC,BASE_GAME
,"Red Faction - Guerrilla (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Uncharted 2 - Among Thieves (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,MX vs. ATV Untamed (USA),,,,,,DISC,BASE_GAME
,"Tom Clancy's H.A.W.X (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"WET (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Aliens vs. Predator (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Devil May Cry 4 (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Enemy Territory - Quake Wars (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,Yakuza 3 (USA),,,,,,DISC,BASE_GAME
,"Wolfenstein (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Turok (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Tekken 6 (USA) (En,Ja,Fr,De,Es,It,Ko,Ru)",,,,,,DISC,BASE_GAME
,"Street Fighter IV (USA, Korea) (En,Ja,Fr,De,Es,It,Ko)",,,,,,DISC,BASE_GAME
,Marvel - Ultimate Alliance 2 (USA),,,,,,DISC,BASE_GAME
,"Disney G-Force (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"FaceBreaker (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Final Fantasy XIII (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,God of War III (USA) (v01.03),,,,,,DISC,BASE_GAME
,"Gran Turismo 5 - Prologue (USA) (En,Fr) (v01.00)",,,,,,DISC,BASE_GAME
,"Heavy Rain (USA) (En,Fr,Es,Pt)",,,,,,DISC,BASE_GAME
,"Just Cause 2 (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"LEGO Indiana Jones - The Original Adventures (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Rogue Warrior (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Soldier of Fortune - Payback (USA),,,,,,DISC,BASE_GAME
,MLB 10 - The Show (USA),,,,,,DISC,BASE_GAME
,"NHL 2K9 (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Sonic the Hedgehog (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Sonic Unleashed (USA, Asia) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Star Wars - The Force Unleashed (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Red Dead Redemption (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Split-Second (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Blur (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Dead to Rights - Retribution (USA) (En,Fr,Es,It)",,,,,,DISC,BASE_GAME
,"Final Fantasy XIII (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Prince of Persia - The Forgotten Sands (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Transformers - War for Cybertron (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Disney-Pixar Toy Story 3 (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Lost Planet 2 (USA) (En,Ja,Fr,De,Es,It,Ko)",,,,,,DISC,BASE_GAME
,"Singularity (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,Demon's Souls (USA),,,,,,DISC,BASE_GAME
,"Folklore (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Grand Theft Auto IV (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Valkyria Chronicles (USA),,,,,,DISC,BASE_GAME
,"NHL 11 (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Biohazard 5 (Japan) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Biohazard 5 - Alternative Edition (Japan) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Resident Evil 5 - Gold Edition (USA, Asia) (En,Ja,Fr,De,Es,It) (v01.01)",,,,,,DISC,BASE_GAME
,"Resident Evil 5 (Europe) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Resident Evil 5 - Gold Edition (Europe) (En,Ja,Fr,De,Es,It) (v01.01)",,,,,,DISC,BASE_GAME
,"Metal Gear Solid 4 - Guns of the Patriots (Europe) (En,Fr,De,Es,It) (v01.01)",,,,,,DISC,BASE_GAME
,"NBA Live 08 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Super Street Fighter IV (Europe) (En,Ja,Fr,De,Es,It,Ko)",,,,,,DISC,BASE_GAME
,"PES 2011 - Pro Evolution Soccer (Europe) (Fr,De,Es,It,Pt,El)",,,,,,DISC,BASE_GAME
,"Gran Turismo 5 (USA, Brazil) (En,Ja,Fr,Es,Pt) (v01.00)",,,,,,DISC,BASE_GAME
,Atelier Rorona - The Alchemist of Arland (USA),,,,,,DISC,BASE_GAME
,Cross Edge (USA),,,,,,DISC,BASE_GAME
,Disgaea 3 - Absence of Justice (USA),,,,,,DISC,BASE_GAME
,"Sports Champions (USA) (En,Fr,Es,Pt) (FW3.40)",,,,,,DISC,BASE_GAME
,"Shoot, The (USA) (En,Fr,Es,Pt)",,,,,,DISC,BASE_GAME
,"Killzone 3 (USA, Brazil) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko,Pl,Ru,Tr)",,,,,,DISC,BASE_GAME
,"Wolfenstein (Europe) (En,Fr,Es,It)",,,,,,DISC,BASE_GAME
,"Call of Duty - World at War (Europe) (En,Fr)",,,,,,DISC,BASE_GAME
,"Grand Theft Auto IV (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"FIFA 08 (Europe) (En,Fr,De,Es,It,Nl,Sv)",,,,,,DISC,BASE_GAME
,"Mortal Kombat (USA) (En,Fr,De,Es,It,Pt)",,,,,,DISC,BASE_GAME
,"Red Dead Redemption (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Biohazard - Revival Selection (Japan),,,,,,DISC,BASE_GAME
,"PlayStation Move Heroes (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Ratchet & Clank Future - Tools of Destruction (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko) (v02.00)",,,,,,DISC,BASE_GAME
,"Soulcalibur IV (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Star Ocean - The Last Hope International (World) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Ar tonelico Qoga - Knell of Ar Ciel (USA),,,,,,DISC,BASE_GAME
,Atelier Meruru - The Apprentice of Arland (USA),,,,,,DISC,BASE_GAME
,Atelier Totori - The Adventurer of Arland (USA),,,,,,DISC,BASE_GAME
,Disgaea 4 - A Promise Unforgotten (USA),,,,,,DISC,BASE_GAME
,Hyperdimension Neptunia mk2 (USA),,,,,,DISC,BASE_GAME
,Hyperdimension Neptunia (USA),,,,,,DISC,BASE_GAME
,"inFamous 2 (USA) (En,Fr,Es,Pt) (v01.00)",,,,,,DISC,BASE_GAME
,"Resistance 3 (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Tales of Graces f (USA),,,,,,DISC,BASE_GAME
,"Uncharted 3 - Drake's Deception (USA) (En,Fr,Es,Pt)",,,,,,DISC,BASE_GAME
,"Final Fantasy XIII (Japan, Asia)",,,,,,DISC,BASE_GAME
,"Dragon Ball Z - Burst Limit (Japan, Asia)",,,,,,DISC,BASE_GAME
,Gundam Musou 2 (Japan),,,,,,DISC,BASE_GAME
,Shirokishi Monogatari - Inishie no Kodou (Japan),,,,,,DISC,BASE_GAME
,"Sonic Generations (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Resident Evil - Operation Raccoon City (Europe) (En,Fr,De,Es,It,Nl,Pl,Ru)",,,,,,DISC,BASE_GAME
,"Metal Gear Solid - HD Collection (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Resident Evil - Operation Raccoon City (Germany) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Biohazard - Chronicles HD Selection (Japan),,,,,,DISC,BASE_GAME
,"White Knight Chronicles II (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Enchanted Arms (Europe),,,,,,DISC,BASE_GAME
,Enchanted Arms (USA),,,,,,DISC,BASE_GAME
,"Bionic Commando (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Samurai Dou 4 Plus (Japan),,,,,,DISC,BASE_GAME
,3D Dot Game Heroes (Japan),,,,,,DISC,BASE_GAME
,"Chou Jigen Game Neptune mk2 (Japan, Asia)",,,,,,DISC,BASE_GAME
,End of Eternity (Japan),,,,,,DISC,BASE_GAME
,"Meruru no Atelier - Arland no Renkinjutsushi 3 (Japan, Asia) (v02.00)",,,,,,DISC,BASE_GAME
,"Rorona no Atelier - Arland no Renkinjutsushi (Japan, Asia) (PlayStation 3 the Best)",,,,,,DISC,BASE_GAME
,"Totori no Atelier - Arland no Renkinjutsushi 2 (Japan, Asia)",,,,,,DISC,BASE_GAME
,Trinity Universe (USA),,,,,,DISC,BASE_GAME
,"Resident Evil - Operation Raccoon City (USA, Asia) (En,Fr,De,Es,It,Nl,Pl,Ru)",,,,,,DISC,BASE_GAME
