title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,"EyeCreate (Europe) (En,Fr,De,Es,It)",,EU,,,,DISC,APP
,"PlayTV (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Eu,Ca,Gd)",,EU,,,,DISC,APP
,Torne (Japan) (v02.00),,JP,,,,DISC,APP
,Torne (Japan) (v01.00),,JP,,,,DISC,APP
,Torne (Japan) (v04.00),,JP,,,,DISC,APP
,Torne (Japan) (v01.10),,JP,,,,DISC,APP
,"PlayTV (New Zealand) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Cs,Sk,Eu,Ca,Gd)",,EU,,,,DISC,APP
,"PlayTV (Australia) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Cs,Sk,Eu,Ca,Gd)",,EU,,,,DISC,APP
