title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,"Official PlayStation Magazine Issue 19 - June 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 64 - December 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 66 - January 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 67 - February 2012 (Europe),,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 35 - September 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 72 - July 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 80 - February 2013 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 84 - June 2013 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 76 - November 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 77 - December 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 65 - Christmas 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 71 - June 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 73 - August 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 74 - September 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 75 - October 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 81 - March 2013 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 83 - May 2013 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 82 - April 2013 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 79 - January 2013 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 78 - Christmas 2012 (Europe),,,,,,DISC,PSM_DISC
