game_name,id,category,description,game_id,rom_name,size,crc,md5,sha1,sha256
Batman - Arkham Asylum (Europe),01414,,Batman - Arkham Asylum (Europe),EP1018-NPEB01156_00-ARKHAMASYLUMGAME,yIkhytaRDIuldLScqIMFnihlcACNLuhyOVtmBRswbBduosByXkwELMyoJNBQXKcCmusTpERmPUCVubCEDvGztwkCyxuUZXRZgGuDh.pkg,7085181680,f473bbec,0cfe459e8adb9669a47fed8ae2ced89b,65239edb31056f1e2a68bdb25303a78463a2e0ac,
Batman - Arkham Asylum (Europe),01414,,Batman - Arkham Asylum (Europe),EP1018-NPEB01156_00-ARKHAMASYLUMGAME,EP1018-NPEB01156_00-ARKHAMASYLUMGAME.rap,16,d50241a0,46a6724d2eac9b304781a178be231aef,4952b655cad0057c55dd138d59a3dd3882d8be7c,
Batman - Arkham Asylum (Europe) (Demo),01415,,Batman - Arkham Asylum (Europe) (Demo),EP0776-NPEB90170_00-BMARKHAMASYLUM00,mCarY2EhQaiiRq65Y1JHbIm70JwyfPLGjtPVFfnnIaXC3IntqdSq4kHw3YjD22YPxNx5mQ8aPt7AJXsCyOxqhMudAp2XUDOdjuxSF.pkg,1530759568,54f5afd0,e01b420f39f91093401082d9c611ff2e,26c604f3f76c9cb1ee8496cb64aa0c768d61a04d,
Batman - Arkham Asylum (USA),01416,,Batman - Arkham Asylum (USA),UP1018-NPUB30920_00-ARKHAMASYLUMGAME,hJgUHEJgcgskoHBhBYVETMgCxBbSNJmFaEuaFZndBKBxLRPyAdSSyQBOrQgWjpGn.pkg,7085181680,189149ce,d2862e557b26473f1bce13c12df25f4f,760378bf769f3581add6a0809feca136f3d6573f,
Batman - Arkham Asylum (USA),01416,,Batman - Arkham Asylum (USA),UP1018-NPUB30920_00-ARKHAMASYLUMGAME,UP1018-NPUB30920_00-ARKHAMASYLUMGAME.rap,16,d9e855ec,259307d6ceea14d6f71b160d58fc5812,dd3cd6c378d7d016abd2d92d0747641be8f902bd,
Batman - Arkham Asylum (USA) (Demo),01417,,Batman - Arkham Asylum (USA) (Demo),UP0776-NPUB90285_00-BMARKHAMASYLUM00,htbiXmBigp2wJGMyLUPa0S9pJgVQDkWsuVIdHXnLNp7yAvHGsTitH0qRVssBcgCqt7QxCc8h4JiaF3mLJSQiMHEDXRTtgJMNlJgTv.pkg,1086668080,10640959,36bd83760e34a27b36f4a88658896281,a9b592dd5a0f00a85f7622eb602cc83b2190f313,
Batman - Arkham Asylum (Japan) (Demo),45573,Demos,Batman - Arkham Asylum (Japan) (Demo),JP0082-NPJB90221_00-BMARKHAMASYLUM00,L80pHfNN30Q88iaEOYi1drnttu7D6lteyKvJfUCQDXH31FNrMbr761TxjSmCpu7gY46n3p7NK8JWnt2y2buO9MMu1sbmjAwTKDP2p.pkg,1017813296,b2bf3d3b,9cd5fec7d35b7e949d49ce122be12c6a,c160e832a644bf3b87769d4f642f38a3efc6d2b9,571e13890d1c3749bfbe968983652f762eb10921e6545a822b68946d9555ad0f
Batman - Arkham City (Europe),01428,,Batman - Arkham City (Europe),EP1018-NPEB00941_00-ARKHAMCITY00GAME,UBdBbiaiqNintuZrVcAHKabkiykIsmzMBMiGCPnMxIUvAQwZnBrPVMeQHudIXaYb.pkg,8076771088,00318eaf,8f180a683f50a69e10d29adf3bedfa22,8a65009a4af0861ae591a3951332718d718a004a,
Batman - Arkham City (Europe),01428,,Batman - Arkham City (Europe),EP1018-NPEB00941_00-ARKHAMCITY00GAME,EP1018-NPEB00941_00-ARKHAMCITY00GAME.rap,16,aef78a80,b6daf060d522fd34cfd72b33a21354bd,3b23b668b144d2f403e7f3ccc870273114983b27,
Batman - Arkham City (Europe) (Demo),01429,,Batman - Arkham City (Europe) (Demo),EP1018-NPEB90405_00-ARKHAMCITYDEMO01,RqpBcYfvzOUCRmPGOuootVCWpuYaXRsgRHwWqSNCuLOjehAUpuKsqduWzhJYvohK.pkg,1408846608,9cb9bf44,f565e21bd6d7f8490ba14b84de610ed5,40df24390c7cefdcdd1275eae596b43c9351d380,
